Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Amadou Onana,be BEL,MF,22,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.00,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,be BEL,MF,22.0,18.0,3.0,17.0,6.0,35.3,0.95,0.33,0.18,0.5,14.7,0.0,0.0,0.0,2.1,2.1,0.12,0.9,0.9,Matches,Aston Villa,703.0,802.0,87.7,11058.0,2897.0,365.0,393.0,92.9,290.0,325.0,89.2,34.0,48.0,70.8,0.0,0.7,0.8,-0.7,10.0,69.0,12.0,2.0,75.0,796.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,32.0,1.78,25.0,2.0,1.0,4.0,0.0,0.0,4.0,0.22,2.0,1.0,0.0,1.0,0.0,0.0,55.0,30.0,23.0,26.0,6.0,16.0,29.0,55.2,13.0,16.0,7.0,9.0,26.0,81.0,41.0,3.0,998.0,71.0,269.0,586.0,159.0,23.0,998.0,20.0,14.0,70.0,3.0,15.0,553.0,2931.0,1577.0,29.0,25.0,1.0,11.0,9.0,671.0,16.0,62,47.3,20,74,7,6,24,2,1.77,25,23,+2,+0.11,-0.14,24.1,23.4,+0.8,+0.04,-0.21,4.0,0.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,72.0,32.0,21.0,60.4
Andrés García,es ESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,es ESP,"DF,MF",21.0,3.5,0.0,2.0,0.0,0.0,0.57,0.0,0.0,N/a,26.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,Aston Villa,174.0,201.0,86.6,2725.0,577.0,89.0,96.0,92.7,74.0,82.0,90.2,7.0,13.0,53.8,0.0,0.2,0.4,-0.2,3.0,9.0,8.0,5.0,15.0,176.0,25.0,0.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,3.0,1.0,4.0,8.0,50.0,4.0,2.0,0.0,2.0,2.0,11.0,10.0,2.0,256.0,8.0,38.0,108.0,112.0,2.0,256.0,18.0,5.0,27.8,12.0,66.7,159.0,1262.0,673.0,26.0,13.0,2.0,10.0,6.0,168.0,28.0,45,9.3,5,58,1,2,14,9,1.57,7,5,+2,+0.57,+0.42,5.8,6.6,-0.7,-0.21,-0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0
Axel Disasi,fr FRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,DF,26.0,5.4,0.0,2.0,0.0,0.0,0.37,0.0,0.0,N/a,19.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,Aston Villa,243.0,280.0,86.8,4080.0,1517.0,103.0,109.0,94.5,131.0,146.0,89.7,8.0,15.0,53.3,0.0,0.4,0.3,-0.4,3.0,14.0,3.0,0.0,16.0,258.0,20.0,9.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,1.65,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,1.0,0.0,3.0,7.0,42.9,4.0,4.0,1.0,3.0,5.0,13.0,18.0,0.0,334.0,32.0,130.0,178.0,29.0,6.0,334.0,15.0,9.0,60.0,6.0,40.0,207.0,1268.0,621.0,10.0,8.0,2.0,3.0,2.0,223.0,5.0,70,14.3,5,90,5,2,20,4,1.57,8,9,-1,-0.18,-0.43,8.2,10.4,-2.2,-0.41,-0.66,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,15.0,8.0,6.0,57.1
Benjamin Broggio,eng ENG,FW,17,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Boubacar Kamara,fr FRA,MF,24,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.00,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,MF,24.0,19.2,1.0,10.0,3.0,30.0,0.52,0.16,0.1,0.33,19.6,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,Matches,Aston Villa,825.0,931.0,88.6,13054.0,4037.0,421.0,454.0,92.7,357.0,390.0,91.5,34.0,62.0,54.8,0.0,0.9,0.8,-0.9,11.0,91.0,10.0,0.0,85.0,904.0,27.0,25.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,1.41,20.0,1.0,1.0,2.0,1.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,28.0,18.0,4.0,29.0,56.0,51.8,27.0,19.0,7.0,12.0,19.0,69.0,51.0,3.0,1113.0,95.0,344.0,637.0,141.0,12.0,1113.0,27.0,9.0,33.3,9.0,33.3,591.0,2976.0,1370.0,19.0,13.0,2.0,12.0,17.0,754.0,7.0,66,50.5,20,81,12,6,16,1,1.69,28,22,+6,+0.31,+0.26,25.3,22.9,+2.5,+0.13,-0.06,2.0,0.0,0.0,30.0,35.0,0.0,0.0,0.0,0.0,87.0,21.0,26.0,44.7
Diego Carlos,br BRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,DF,31.0,9.2,0.0,4.0,1.0,25.0,0.43,0.11,0.0,0.0,6.7,0.0,0.0,0.0,0.6,0.6,0.16,-0.6,-0.6,Matches,Aston Villa,534.0,603.0,88.6,10941.0,4103.0,138.0,151.0,91.4,341.0,362.0,94.2,54.0,83.0,65.1,0.0,0.0,0.1,0.0,0.0,23.0,1.0,0.0,34.0,575.0,25.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.43,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,6.0,1.0,1.0,4.0,6.0,66.7,2.0,13.0,7.0,6.0,5.0,13.0,36.0,2.0,674.0,86.0,331.0,330.0,15.0,6.0,674.0,2.0,2.0,100.0,0.0,0.0,419.0,2133.0,1162.0,3.0,3.0,0.0,1.0,2.0,481.0,0.0,83,24.3,8,90,8,2,55,7,1.30,14,15,-1,-0.11,-0.39,13.8,11.8,+2.0,+0.22,+0.08,1.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,36.0,11.0,10.0,52.4
Donyell Malen,nl NED,FW,25,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.00,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nl NED,FW,25.0,3.4,3.0,15.0,9.0,60.0,4.43,2.66,0.2,0.33,15.2,0.0,0.0,0.0,2.2,2.2,0.14,0.8,0.8,Matches,Aston Villa,53.0,77.0,68.8,712.0,144.0,33.0,40.0,82.5,14.0,19.0,73.7,3.0,7.0,42.9,0.0,0.2,0.2,-0.2,3.0,2.0,2.0,0.0,6.0,71.0,5.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,1.76,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,3.0,1.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,0.0,7.0,1.0,0.0,129.0,2.0,9.0,33.0,94.0,25.0,129.0,11.0,4.0,36.4,5.0,45.5,79.0,652.0,370.0,12.0,7.0,7.0,8.0,7.0,87.0,30.0,22,8.9,2,62,0,12,15,3,1.93,7,6,+1,+0.30,+0.12,7.0,4.7,+2.3,+0.67,+0.57,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,9.0,4.0,4.0,50.0
Emi Buendía,ar ARG,"MF,FW",27,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,"MF,FW",27.0,1.1,0.0,5.0,0.0,0.0,4.59,0.0,0.0,N/a,19.1,1.0,0.0,0.0,0.7,0.7,0.13,-0.7,-0.7,Matches,Aston Villa,49.0,60.0,81.7,624.0,166.0,33.0,36.0,91.7,12.0,14.0,85.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0,59.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.76,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,4.0,0.0,6.0,2.0,0.0,82.0,0.0,17.0,35.0,31.0,3.0,82.0,2.0,0.0,0.0,2.0,100.0,53.0,185.0,119.0,3.0,5.0,0.0,4.0,3.0,64.0,6.0,8,2.9,0,N/a,0,12,8,11,2.00,1,2,-1,-0.92,-1.14,1.9,2.0,-0.1,-0.08,-0.24,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Emiliano Martínez,ar ARG,GK,31,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Aston Villa,ar ARG,GK,31.0,37.0,37.0,3194.0,35.5,45.0,1.27,142.0,96.0,69.0,18.0,9.0,10.0,8.0,21.6,2.0,1.0,1.0,0.0,50.0,Matches,Aston Villa,1.0,2.0,0.0,45.8,0.32,0.8,0.02,162.0,420.0,38.6,1208.0,132.0,26.3,30.4,172.0,59.3,46.3,498.0,56.0,11.2,35.0,0.99,13.7,ar ARG,GK,31.0,35.5,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Aston Villa,1091.0,1387.0,78.7,28659.0,17513.0,194.0,198.0,98.0,629.0,640.0,98.3,268.0,542.0,49.4,0.0,0.5,0.1,-0.5,2.0,27.0,0.0,0.0,4.0,1117.0,263.0,91.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,17.0,6.0,1449.0,1095.0,1429.0,20.0,0.0,0.0,1449.0,1.0,1.0,100.0,0.0,0.0,889.0,4616.0,2936.0,0.0,0.0,0.0,1.0,0.0,784.0,0.0,86,93.4,37,86,34,0,N/a,0,1.70,56,45,+11,+0.31,+1.90,53.5,44.7,+8.9,+0.25,+1.42,5.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,34.0,10.0,1.0,90.9
Ezri Konsa,eng ENG,DF,26,34,33,2936,32.6,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,24,90,11,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Aston Villa,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,26.0,32.6,2.0,11.0,5.0,45.5,0.34,0.15,0.18,0.4,8.8,0.0,0.0,0.0,1.3,1.3,0.12,0.7,0.7,Matches,Aston Villa,1555.0,1673.0,92.9,26299.0,8781.0,669.0,692.0,96.7,807.0,844.0,95.6,62.0,95.0,65.3,0.0,0.4,0.6,-0.4,6.0,106.0,2.0,0.0,90.0,1538.0,134.0,84.0,6.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,1.0,21.0,24.0,0.74,19.0,2.0,1.0,2.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,20.0,10.0,4.0,20.0,25.0,80.0,5.0,20.0,11.0,9.0,24.0,58.0,114.0,4.0,1915.0,250.0,883.0,934.0,107.0,22.0,1915.0,18.0,8.0,44.4,7.0,38.9,1132.0,5817.0,3008.0,24.0,15.0,2.0,17.0,10.0,1338.0,11.0,86,85.8,33,88,32,1,45,1,1.76,48,45,+3,+0.09,-0.65,46.5,43.4,+3.1,+0.10,-0.43,1.0,0.0,0.0,9.0,47.0,1.0,0.0,0.0,0.0,97.0,31.0,23.0,57.4
