Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Aaron Hickey,sct SCO,"DF,MF",22,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ben Mee,eng ENG,DF,34,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,34.0,2.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brentford,93.0,120.0,77.5,1751.0,688.0,34.0,38.0,89.5,51.0,60.0,85.0,8.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0,108.0,12.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,3.0,0.0,4.0,6.0,7.0,0.0,138.0,18.0,66.0,62.0,11.0,3.0,138.0,0.0,0.0,N/a,0.0,N/a,78.0,404.0,274.0,3.0,1.0,1.0,0.0,0.0,86.0,2.0,26,5.4,2,84,1,5,3,28,1.86,1,4,-3,-1.48,-1.81,2.9,2.7,+0.2,+0.10,0.00,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,5.0,50.0
Benjamin Arthur,eng ENG,DF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Benjamin Fredrick,ng NGA,DF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Bryan Mbeumo,cm CMR,FW,24,38,38,3414,37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.40,0.58,0.32,0.22,0.54,0.20,0.42,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cm CMR,FW,24.0,37.9,20.0,79.0,34.0,43.0,2.08,0.9,0.19,0.44,17.9,6.0,5.0,6.0,12.3,7.5,0.1,7.7,7.5,Matches,Brentford,872.0,1319.0,66.1,13902.0,4325.0,476.0,602.0,79.1,313.0,441.0,71.0,68.0,183.0,37.2,7.0,8.3,9.3,-1.3,70.0,63.0,59.0,19.0,141.0,1162.0,149.0,40.0,13.0,9.0,202.0,17.0,87.0,70.0,2.0,0.0,8.0,50.0,144.0,3.8,98.0,23.0,11.0,8.0,4.0,0.0,20.0,0.53,11.0,3.0,2.0,3.0,1.0,0.0,49.0,31.0,18.0,15.0,16.0,21.0,35.0,60.0,14.0,26.0,3.0,23.0,14.0,63.0,55.0,1.0,1781.0,62.0,246.0,567.0,998.0,168.0,1775.0,111.0,52.0,46.8,47.0,42.3,1077.0,6721.0,3519.0,130.0,69.0,75.0,106.0,47.0,1204.0,351.0,90,99.8,38,90,35,0,N/a,0,1.47,66,55,+11,+0.29,+30.29,58.5,54.6,+3.9,+0.10,+4.39,3.0,0.0,0.0,25.0,44.0,11.0,0.0,0.0,0.0,156.0,34.0,74.0,31.5
Christian Nørgaard,dk DEN,MF,30,34,34,2819,31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,dk DEN,MF,30.0,31.3,5.0,39.0,15.0,38.5,1.25,0.48,0.13,0.33,14.3,0.0,0.0,0.0,4.3,4.3,0.11,0.7,0.7,Matches,Brentford,1164.0,1427.0,81.6,19339.0,6409.0,584.0,668.0,87.4,483.0,568.0,85.0,79.0,133.0,59.4,4.0,1.3,1.4,2.7,18.0,137.0,27.0,4.0,154.0,1391.0,30.0,19.0,4.0,5.0,17.0,10.0,0.0,0.0,0.0,0.0,6.0,25.0,58.0,1.85,48.0,0.0,0.0,7.0,2.0,1.0,13.0,0.42,11.0,0.0,0.0,1.0,1.0,0.0,79.0,49.0,37.0,35.0,7.0,48.0,81.0,59.3,33.0,52.0,20.0,32.0,49.0,128.0,70.0,1.0,1802.0,176.0,613.0,855.0,350.0,57.0,1802.0,14.0,7.0,50.0,5.0,35.7,826.0,3115.0,1391.0,14.0,16.0,4.0,34.0,20.0,1075.0,42.0,83,82.4,34,83,22,0,N/a,0,1.59,55,45,+10,+0.32,+0.47,50.3,43.7,+6.6,+0.21,+0.66,8.0,1.0,0.0,44.0,28.0,1.0,0.0,0.0,0.0,193.0,49.0,30.0,62.0
Edmond-Paris Maghoma,eng ENG,"MF,FW",23,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",23.0,1.3,0.0,1.0,0.0,0.0,0.76,0.0,0.0,N/a,23.8,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,Matches,Brentford,76.0,84.0,90.5,1259.0,343.0,38.0,40.0,95.0,29.0,31.0,93.5,6.0,7.0,85.7,0.0,0.1,0.0,-0.1,1.0,2.0,0.0,0.0,13.0,83.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.03,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,101.0,2.0,18.0,58.0,27.0,4.0,101.0,4.0,3.0,75.0,1.0,25.0,68.0,414.0,221.0,4.0,3.0,1.0,2.0,0.0,75.0,4.0,15,3.5,0,N/a,0,8,15,15,1.25,3,1,+2,+1.51,+1.32,2.2,1.8,+0.4,+0.28,+0.19,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
Ethan Pinnock,jm JAM,DF,31,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,jm JAM,DF,31.0,21.3,2.0,10.0,6.0,60.0,0.47,0.28,0.2,0.33,11.1,0.0,0.0,0.0,1.1,1.1,0.11,0.9,0.9,Matches,Brentford,924.0,1080.0,85.6,17045.0,6094.0,360.0,382.0,94.2,472.0,528.0,89.4,84.0,145.0,57.9,0.0,1.2,0.7,-1.2,8.0,48.0,4.0,1.0,41.0,954.0,126.0,15.0,0.0,0.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,0.99,13.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,19.0,15.0,16.0,4.0,13.0,24.0,54.2,11.0,29.0,18.0,11.0,24.0,59.0,142.0,4.0,1348.0,294.0,783.0,457.0,109.0,24.0,1348.0,9.0,3.0,33.3,6.0,66.7,633.0,3117.0,1633.0,3.0,4.0,0.0,2.0,4.0,760.0,9.0,87,55.9,21,90,20,1,31,9,1.50,40,35,+5,+0.24,0.00,31.4,33.9,-2.4,-0.11,-0.47,2.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,1.0,50.0,63.0,43.0,59.4
Fabio Carvalho,pt POR,"FW,MF",21,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"FW,MF",21.0,5.1,2.0,12.0,5.0,41.7,2.37,0.99,0.17,0.4,14.7,0.0,0.0,0.0,2.5,2.5,0.21,-0.5,-0.5,Matches,Brentford,126.0,178.0,70.8,1755.0,442.0,78.0,94.0,83.0,32.0,45.0,71.1,7.0,18.0,38.9,1.0,0.7,0.6,0.3,4.0,11.0,5.0,1.0,17.0,163.0,14.0,4.0,2.0,0.0,10.0,1.0,7.0,3.0,0.0,0.0,1.0,7.0,10.0,1.97,7.0,0.0,1.0,2.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,4.0,5.0,6.0,13.0,46.2,7.0,6.0,1.0,5.0,3.0,16.0,2.0,0.0,247.0,4.0,44.0,91.0,113.0,22.0,247.0,14.0,2.0,14.3,10.0,71.4,137.0,698.0,356.0,9.0,3.0,0.0,13.0,8.0,145.0,23.0,24,13.3,3,81,0,16,13,6,1.47,9,14,-5,-0.99,-1.41,6.5,11.2,-4.7,-0.92,-1.17,1.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,30.0,2.0,6.0,25.0
Frank Onyeka,ng NGA,MF,26,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brentford,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ng NGA,MF,26.0,0.3,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brentford,6.0,7.0,85.7,71.0,19.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,5.0,4.0,0.0,10.0,0.0,0.0,N/a,0.0,N/a,6.0,55.0,14.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,13,0.7,0,N/a,0,2,13,0,1.50,0,0,0,0.00,-0.24,0.0,0.7,-0.7,-2.48,-2.59,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,N/a
