Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Adam Wharton,eng ENG,MF,20,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.00,0.14,0.14,0.00,0.14,0.03,0.21,0.23,0.03,0.23,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,20.0,14.6,0.0,13.0,5.0,38.5,0.89,0.34,0.0,0.0,25.4,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,Matches,Crystal Palace,548.0,725.0,75.6,10271.0,3780.0,208.0,252.0,82.5,258.0,322.0,80.1,70.0,107.0,65.4,2.0,3.0,2.2,-1.0,26.0,78.0,18.0,5.0,107.0,678.0,40.0,14.0,5.0,1.0,39.0,0.0,26.0,19.0,1.0,0.0,7.0,12.0,59.0,4.03,45.0,11.0,0.0,2.0,0.0,1.0,6.0,0.41,4.0,2.0,0.0,0.0,0.0,0.0,34.0,14.0,14.0,16.0,4.0,17.0,44.0,38.6,27.0,11.0,2.0,9.0,20.0,54.0,27.0,0.0,872.0,30.0,204.0,463.0,212.0,11.0,872.0,10.0,2.0,20.0,8.0,80.0,430.0,2014.0,1078.0,14.0,23.0,2.0,17.0,13.0,533.0,11.0,66,38.5,16,77,3,4,23,1,1.25,18,21,-3,-0.20,-0.33,21.1,19.2,+1.9,+0.13,-0.27,2.0,0.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,102.0,7.0,16.0,30.4
Asher Agbinone,eng ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,18.0,0.1,0.0,1.0,0.0,0.0,15.0,0.0,0.0,N/a,26.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,Crystal Palace,2.0,3.0,66.7,32.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,8.0,2.0,0.0,0.0,1.0,50.0,5.0,53.0,23.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,3,0.2,0,N/a,0,2,3,10,0.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+1.71,+1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ben Chilwell,eng ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1.0,5,8,15,0.35,0.00,0.35,0.35,0.35,0.08,0.26,0.34,0.08,0.34,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,27.0,2.9,1.0,5.0,3.0,60.0,1.74,1.04,0.2,0.33,25.4,2.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,Matches,Crystal Palace,92.0,125.0,73.6,1512.0,497.0,48.0,55.0,87.3,36.0,45.0,80.0,6.0,18.0,33.3,0.0,0.8,0.9,-0.8,5.0,7.0,3.0,0.0,8.0,95.0,30.0,6.0,1.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.77,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,0.0,1.0,5.0,20.0,4.0,6.0,2.0,4.0,6.0,13.0,16.0,0.0,175.0,10.0,63.0,76.0,42.0,3.0,175.0,6.0,2.0,33.3,3.0,50.0,68.0,354.0,243.0,5.0,2.0,1.0,4.0,2.0,68.0,15.0,32,7.6,1,90,1,7,24,4,2.00,6,4,+2,+0.69,+0.75,4.3,2.7,+1.6,+0.55,+0.27,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,20.0,3.0,4.0,42.9
Caleb Kporha,eng ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,18.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Crystal Palace,5.0,7.0,71.4,72.0,21.0,4.0,4.0,100.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,1.0,4.0,2.0,5.0,0.0,11.0,0.0,0.0,N/a,0.0,N/a,4.0,46.0,36.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,7,0.4,0,N/a,0,2,7,25,0.00,0,1,-1,-6.92,-6.95,0.1,0.1,0.0,0.00,-0.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Chadi Riad,ma MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ma MAR,DF,21.0,1.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Crystal Palace,70.0,82.0,85.4,1411.0,568.0,24.0,28.0,85.7,38.0,41.0,92.7,8.0,13.0,61.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,7.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,90.0,5.0,41.0,49.0,1.0,0.0,90.0,0.0,0.0,N/a,0.0,N/a,58.0,318.0,232.0,2.0,0.0,0.0,1.0,0.0,69.0,0.0,90,2.6,1,90,1,0,N/a,5,0.00,0,2,-2,-2.00,-2.05,1.3,1.4,0.0,-0.01,-0.32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,33.3
Cheick Doucouré,ml MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ml MLI,MF,24.0,5.0,0.0,7.0,0.0,0.0,1.39,0.0,0.0,N/a,20.6,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,Matches,Crystal Palace,174.0,204.0,85.3,2909.0,823.0,84.0,94.0,89.4,70.0,78.0,89.7,16.0,20.0,80.0,0.0,0.0,0.1,0.0,1.0,17.0,3.0,0.0,19.0,201.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.79,5.0,0.0,0.0,2.0,1.0,1.0,3.0,0.6,1.0,0.0,0.0,1.0,1.0,0.0,16.0,8.0,6.0,8.0,2.0,5.0,11.0,45.5,6.0,4.0,0.0,4.0,11.0,27.0,10.0,1.0,263.0,11.0,56.0,165.0,45.0,4.0,263.0,5.0,2.0,40.0,2.0,40.0,133.0,581.0,280.0,2.0,7.0,1.0,4.0,7.0,160.0,7.0,35,13.2,4,55,0,9,26,4,1.38,5,6,-1,-0.20,-0.23,6.8,7.7,-0.9,-0.17,-0.54,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,31.0,5.0,5.0,50.0
Chris Richards,us USA,DF,24,24,22,1922,21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,us USA,DF,24.0,21.4,1.0,12.0,6.0,50.0,0.56,0.28,0.08,0.17,10.8,0.0,0.0,0.0,1.4,1.4,0.12,-0.4,-0.4,Matches,Crystal Palace,684.0,857.0,79.8,12185.0,4230.0,276.0,312.0,88.5,340.0,384.0,88.5,56.0,123.0,45.5,0.0,0.1,0.6,-0.1,2.0,23.0,1.0,1.0,39.0,818.0,37.0,18.0,2.0,5.0,5.0,17.0,0.0,0.0,0.0,0.0,2.0,13.0,9.0,0.42,5.0,0.0,0.0,2.0,1.0,1.0,2.0,0.09,0.0,0.0,0.0,2.0,0.0,0.0,47.0,30.0,24.0,18.0,5.0,24.0,41.0,58.5,17.0,40.0,14.0,26.0,19.0,66.0,121.0,0.0,1118.0,134.0,611.0,440.0,73.0,18.0,1118.0,6.0,1.0,16.7,5.0,83.3,517.0,2316.0,964.0,6.0,5.0,0.0,5.0,5.0,614.0,2.0,80,56.2,22,87,18,2,6,5,1.54,30,31,-1,-0.05,-0.11,37.9,29.1,+8.8,+0.41,+0.26,4.0,1.0,1.0,11.0,5.0,1.0,1.0,0.0,0.0,51.0,48.0,41.0,53.9
Daichi Kamada,jp JPN,MF,27,34,15,1564,17.4,0,0,0,0,0,0,4,1,1.1,1.1,1.9,3.0,25,89,56,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,jp JPN,MF,27.0,17.4,0.0,20.0,4.0,20.0,1.15,0.23,0.0,0.0,20.3,0.0,0.0,0.0,1.1,1.1,0.05,-1.1,-1.1,Matches,Crystal Palace,603.0,752.0,80.2,9772.0,2644.0,317.0,360.0,88.1,233.0,280.0,83.2,38.0,62.0,61.3,0.0,1.9,1.6,-1.9,20.0,48.0,14.0,3.0,89.0,720.0,31.0,11.0,4.0,5.0,31.0,2.0,16.0,11.0,1.0,0.0,1.0,18.0,52.0,2.99,37.0,6.0,1.0,3.0,2.0,3.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0,47.0,29.0,19.0,24.0,4.0,14.0,41.0,34.1,27.0,22.0,5.0,17.0,18.0,65.0,14.0,0.0,937.0,19.0,208.0,496.0,240.0,32.0,937.0,19.0,7.0,36.8,9.0,47.4,485.0,2295.0,1121.0,25.0,19.0,6.0,16.0,20.0,600.0,56.0,46,45.7,15,81,7,19,18,1,1.38,25,26,-1,-0.06,-0.11,27.7,24.7,+3.1,+0.18,-0.22,4.0,1.0,0.0,28.0,21.0,2.0,0.0,0.0,0.0,89.0,4.0,13.0,23.5
Daniel Muñoz,co COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0,4.9,4.9,5.5,10.5,62,97,206,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,Matches,Crystal Palace,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,co COL,DF,28.0,35.9,4.0,37.0,14.0,37.8,1.03,0.39,0.11,0.29,12.7,0.0,0.0,0.0,4.9,4.9,0.13,-0.9,-0.9,Matches,Crystal Palace,1129.0,1492.0,75.7,17091.0,5219.0,645.0,753.0,85.7,414.0,538.0,77.0,48.0,108.0,44.4,5.0,5.5,3.6,-0.5,46.0,59.0,35.0,15.0,97.0,1182.0,304.0,27.0,2.0,2.0,74.0,275.0,2.0,0.0,0.0,0.0,6.0,39.0,85.0,2.37,69.0,2.0,2.0,6.0,1.0,5.0,11.0,0.31,9.0,0.0,1.0,1.0,0.0,0.0,123.0,80.0,57.0,41.0,25.0,55.0,97.0,56.7,42.0,40.0,6.0,34.0,44.0,167.0,108.0,1.0,2010.0,119.0,568.0,826.0,637.0,107.0,2010.0,56.0,21.0,37.5,33.0,58.9,806.0,4046.0,1797.0,62.0,40.0,18.0,55.0,20.0,956.0,206.0,87,94.4,37,87,33,0,N/a,0,1.43,48,46,+2,+0.06,+0.99,57.1,45.5,+11.6,+0.32,+0.46,10.0,0.0,0.0,56.0,19.0,15.0,0.0,0.0,0.0,171.0,58.0,78.0,42.6
Dean Henderson,eng ENG,GK,27,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace,eng ENG,GK,27.0,38.0,3420.0,51.0,1.34,150.0,101.0,66.7,13.0,14.0,11.0,11.0,28.9,2.0,1.0,1.0,0.0,50.0,Matches,Crystal Palace,5.0,3.0,51.2,0.35,3.2,0.08,157.0,600.0,26.2,942.0,115.0,47.5,38.5,273.0,56.0,44.9,559.0,30.0,5.4,40.0,1.05,14.3,eng ENG,GK,27.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,N/a,14.9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,Matches,Crystal Palace,745.0,1216.0,61.3,20401.0,13551.0,180.0,181.0,99.4,350.0,353.0,99.2,211.0,677.0,31.2,0.0,0.2,0.1,-0.2,3.0,23.0,1.0,0.0,0.0,842.0,373.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,1308.0,1065.0,1303.0,4.0,1.0,1.0,1308.0,0.0,0.0,N/a,0.0,N/a,751.0,4483.0,2136.0,0.0,0.0,0.0,2.0,0.0,580.0,0.0,90,100.0,38,90,38,0,N/a,0,1.39,51,51,0,0.00,N/a,60.4,49.1,+11.3,+0.30,N/a,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,11.0,1.0,91.7
