Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Alex Murphy,ie IRL,DF,20.0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Alexander Isak,se SWE,FW,24.0,34,34,2756.0,30.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0,20.3,17.2,4.3,21.6,83.0,88.0,217.0,0.75,0.2,0.95,0.62,0.82,0.66,0.14,0.81,0.56,0.7,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,se SWE,FW,24.0,95.0,41.0,43.2,3.1,1.34,0.2,0.46,14.5,3.0,0.18,2.7,1.8,Matches,Newcastle Utd,519.0,689.0,75.3,7434.0,1644.0,306.0,364.0,84.1,163.0,207.0,78.7,26.0,42.0,61.9,3.6,1.7,41.0,35.0,31.0,1.0,606.0,77.0,0.0,6.0,3.0,16.0,9.0,3.0,0.0,0.0,0.0,6.0,24.0,92.0,3.01,70.0,1.0,8.0,9.0,2.0,2.0,14.0,0.46,11.0,0.0,1.0,0.0,1.0,1.0,12.0,5.0,2.0,3.0,7.0,5.0,15.0,33.3,10.0,18.0,2.0,16.0,3.0,15.0,17.0,1.0,1025.0,20.0,57.0,386.0,596.0,189.0,1021.0,91.0,42.0,46.2,47.0,51.6,615.0,3723.0,1861.0,42.0,43.0,66.0,55.0,740.0,81.0,80.6,81.0,15,0,N/a,0,1.88,62.0,41.0,21.0,0.69,0.69,55.0,36.3,18.7,0.61,0.67,0.0,27.0,14.0,20.0,1.0,0.0,0.0,55.0,26.0,55.0,32.1
Anthony Gordon,eng ENG,"FW,MF",23.0,34,28,2434.0,27.0,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,8.0,6.5,5.0,11.4,121.0,98.0,214.0,0.22,0.18,0.41,0.18,0.37,0.3,0.18,0.48,0.24,0.42,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",23.0,57.0,16.0,28.1,2.11,0.59,0.09,0.31,17.0,1.0,0.11,-2.0,-1.5,Matches,Newcastle Utd,720.0,982.0,73.3,11128.0,3642.0,397.0,464.0,85.6,244.0,312.0,78.2,56.0,125.0,44.8,5.1,0.0,51.0,65.0,55.0,17.0,857.0,117.0,24.0,9.0,4.0,131.0,34.0,53.0,35.0,7.0,0.0,8.0,38.0,101.0,3.74,73.0,10.0,7.0,3.0,8.0,0.0,12.0,0.44,9.0,1.0,1.0,0.0,1.0,0.0,32.0,18.0,9.0,18.0,5.0,12.0,37.0,32.4,25.0,25.0,2.0,23.0,7.0,39.0,9.0,3.0,1267.0,16.0,125.0,475.0,687.0,128.0,1265.0,103.0,38.0,36.9,47.0,45.6,818.0,6099.0,3295.0,62.0,56.0,36.0,38.0,924.0,72.0,71.2,81.0,9,6,26.0,0,1.68,43.0,33.0,10.0,0.37,-0.63,45.7,31.8,13.8,0.51,0.11,0.0,20.0,71.0,8.0,1.0,0.0,0.0,97.0,8.0,8.0,50.0
Bruno Guimarães,br BRA,MF,26.0,38,38,3271.0,36.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,4.3,4.3,6.1,10.4,64.0,271.0,96.0,0.14,0.17,0.3,0.14,0.3,0.12,0.17,0.29,0.12,0.29,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,MF,26.0,45.0,13.0,28.9,1.24,0.36,0.11,0.38,16.4,0.0,0.1,0.7,0.7,Matches,Newcastle Utd,1481.0,1798.0,82.4,24436.0,7860.0,736.0,810.0,90.9,581.0,670.0,86.7,118.0,201.0,58.7,5.4,-0.1,52.0,180.0,77.0,6.0,1708.0,81.0,70.0,22.0,14.0,28.0,3.0,5.0,2.0,2.0,0.0,9.0,38.0,133.0,3.66,119.0,3.0,3.0,1.0,4.0,3.0,18.0,0.5,17.0,1.0,0.0,0.0,0.0,0.0,83.0,47.0,41.0,30.0,12.0,33.0,69.0,47.8,36.0,36.0,10.0,26.0,29.0,112.0,44.0,5.0,2213.0,83.0,445.0,1131.0,662.0,85.0,2213.0,78.0,34.0,43.6,27.0,34.6,1400.0,7763.0,3483.0,46.0,15.0,56.0,76.0,1652.0,86.0,95.6,86.0,21,0,N/a,0,1.74,68.0,44.0,24.0,0.66,2.47,61.4,42.8,18.6,0.51,0.7,0.0,65.0,108.0,2.0,0.0,0.0,0.0,188.0,18.0,19.0,48.6
Callum Wilson,eng ENG,FW,32.0,18,2,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,5.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,32.0,6.0,1.0,16.7,1.46,0.24,0.0,0.0,15.4,0.0,0.06,-0.4,-0.4,Matches,Newcastle Utd,40.0,53.0,75.5,504.0,89.0,22.0,27.0,81.5,13.0,16.0,81.3,0.0,0.0,N/a,0.1,-0.1,3.0,2.0,0.0,0.0,46.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,2.43,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,95.0,1.0,5.0,55.0,38.0,19.0,95.0,7.0,1.0,14.3,4.0,57.1,47.0,243.0,105.0,4.0,5.0,16.0,12.0,60.0,21.0,10.8,66.0,0,16,15.0,0,1.5,4.0,7.0,-3.0,-0.73,-1.44,4.9,6.0,-1.1,-0.26,-0.83,0.0,4.0,1.0,3.0,0.0,0.0,0.0,11.0,2.0,16.0,11.1
Dan Burn,eng ENG,DF,32.0,37,37,3330.0,37.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,2.0,2.0,0.9,2.8,12.0,75.0,14.0,0.03,0.03,0.05,0.03,0.05,0.05,0.02,0.08,0.05,0.08,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,32.0,23.0,7.0,30.4,0.62,0.19,0.04,0.14,9.7,0.0,0.09,-1.0,-1.0,Matches,Newcastle Utd,1774.0,2006.0,88.4,32347.0,11375.0,621.0,692.0,89.7,1029.0,1088.0,94.6,110.0,181.0,60.8,1.1,0.1,9.0,50.0,9.0,0.0,1968.0,37.0,25.0,0.0,12.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,16.0,27.0,0.73,21.0,1.0,0.0,4.0,1.0,0.0,4.0,0.11,3.0,1.0,0.0,0.0,0.0,0.0,39.0,24.0,22.0,15.0,2.0,20.0,36.0,55.6,16.0,36.0,26.0,10.0,27.0,66.0,197.0,4.0,2386.0,366.0,1305.0,959.0,130.0,52.0,2386.0,4.0,3.0,75.0,1.0,25.0,1346.0,6322.0,2798.0,8.0,1.0,24.0,3.0,1615.0,90.0,97.4,90.0,37,0,N/a,0,1.78,68.0,45.0,23.0,0.62,2.62,62.1,44.7,17.5,0.47,-0.3,0.0,34.0,12.0,5.0,0.0,0.0,2.0,103.0,146.0,75.0,66.1
Emil Krafth,se SWE,DF,29.0,12,2,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,se SWE,DF,29.0,1.0,0.0,0.0,0.26,0.0,0.0,N/a,14.6,0.0,0.03,0.0,0.0,Matches,Newcastle Utd,124.0,158.0,78.5,2017.0,786.0,60.0,74.0,81.1,53.0,62.0,85.5,7.0,12.0,58.3,0.0,-0.1,1.0,6.0,1.0,0.0,138.0,20.0,4.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.79,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,2.0,6.0,16.0,0.0,199.0,34.0,100.0,73.0,28.0,4.0,199.0,1.0,0.0,0.0,1.0,100.0,82.0,397.0,175.0,6.0,0.0,2.0,2.0,98.0,29.0,10.0,90.0,2,10,16.0,14,1.92,5.0,2.0,3.0,0.79,0.26,4.9,6.5,-1.5,-0.4,-0.98,0.0,5.0,2.0,0.0,0.0,0.0,0.0,19.0,8.0,8.0,50.0
Fabian Schär,ch SUI,DF,32.0,34,33,2934.0,32.6,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,3.7,3.7,0.4,4.1,18.0,118.0,22.0,0.12,0.0,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ch SUI,DF,32.0,40.0,11.0,27.5,1.23,0.34,0.1,0.36,19.8,5.0,0.09,0.3,0.3,Matches,Newcastle Utd,1654.0,1977.0,83.7,33173.0,12752.0,577.0,625.0,92.3,877.0,944.0,92.9,191.0,373.0,51.2,1.0,-0.4,5.0,161.0,13.0,0.0,1890.0,79.0,65.0,4.0,31.0,13.0,14.0,0.0,0.0,0.0,0.0,8.0,8.0,37.0,1.13,26.0,1.0,1.0,3.0,2.0,4.0,4.0,0.12,2.0,0.0,0.0,2.0,0.0,0.0,36.0,21.0,16.0,18.0,2.0,14.0,35.0,40.0,21.0,38.0,25.0,13.0,45.0,81.0,138.0,3.0,2319.0,266.0,1178.0,991.0,162.0,42.0,2319.0,13.0,8.0,61.5,3.0,23.1,1438.0,6526.0,3744.0,27.0,2.0,12.0,6.0,1609.0,86.0,85.8,88.0,29,1,45.0,0,1.65,58.0,42.0,16.0,0.49,-0.44,55.0,36.9,18.1,0.56,0.53,0.0,35.0,15.0,4.0,0.0,0.0,0.0,134.0,56.0,71.0,44.1
Harvey Barnes,eng ENG,FW,26.0,33,17,1755.0,19.5,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0,7.2,7.2,4.0,11.2,93.0,83.0,192.0,0.46,0.21,0.67,0.46,0.67,0.37,0.2,0.57,0.37,0.57,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,26.0,63.0,20.0,31.7,3.23,1.03,0.14,0.45,15.1,0.0,0.11,1.8,1.8,Matches,Newcastle Utd,474.0,607.0,78.1,6642.0,1989.0,302.0,348.0,86.8,149.0,204.0,73.0,14.0,26.0,53.8,4.6,0.0,26.0,25.0,41.0,9.0,590.0,15.0,3.0,5.0,1.0,47.0,10.0,2.0,0.0,0.0,0.0,2.0,17.0,64.0,3.27,44.0,1.0,7.0,6.0,6.0,0.0,9.0,0.46,6.0,0.0,1.0,1.0,1.0,0.0,16.0,9.0,4.0,6.0,6.0,3.0,11.0,27.3,8.0,8.0,2.0,6.0,6.0,22.0,15.0,1.0,810.0,17.0,97.0,257.0,462.0,128.0,810.0,64.0,24.0,37.5,33.0,51.6,561.0,4196.0,2467.0,48.0,47.0,33.0,23.0,647.0,53.0,51.3,80.0,6,16,25.0,1,1.82,34.0,23.0,11.0,0.56,0.02,31.0,24.1,6.9,0.35,-0.27,0.0,15.0,22.0,5.0,0.0,0.0,0.0,55.0,6.0,15.0,28.6
Jacob Murphy,eng ENG,FW,29.0,35,31,2360.0,26.2,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0,5.7,5.7,8.9,14.6,79.0,83.0,231.0,0.31,0.46,0.76,0.31,0.76,0.22,0.34,0.56,0.22,0.56,Matches,Newcastle Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,29.0,43.0,15.0,34.9,1.64,0.57,0.19,0.53,18.2,0.0,0.13,2.3,2.3,Matches,Newcastle Utd,688.0,1004.0,68.5,10412.0,3438.0,411.0,484.0,84.9,218.0,320.0,68.1,43.0,109.0,39.4,6.2,3.1,42.0,58.0,41.0,15.0,943.0,53.0,5.0,5.0,6.0,120.0,32.0,16.0,1.0,0.0,0.0,8.0,51.0,82.0,3.13,65.0,5.0,4.0,3.0,3.0,2.0,15.0,0.57,14.0,0.0,0.0,0.0,1.0,0.0,28.0,19.0,10.0,12.0,6.0,20.0,44.0,45.5,24.0,31.0,0.0,31.0,13.0,41.0,35.0,1.0,1271.0,27.0,188.0,474.0,622.0,92.0,1271.0,69.0,35.0,50.7,31.0,44.9,733.0,4416.0,2339.0,40.0,27.0,32.0,37.0,911.0,67.0,69.0,72.0,6,4,30.0,2,1.69,54.0,31.0,23.0,0.88,1.05,48.9,27.7,21.2,0.81,1.06,0.0,11.0,15.0,3.0,1.0,0.0,0.0,98.0,5.0,16.0,23.8
