Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Aaron Cresswell,eng ENG,DF,34.0,18,10,824.0,9.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,34.0,5.0,0.0,0.0,0.55,0.0,0.0,N/a,23.8,2.0,0.05,-0.2,-0.2,Matches,West Ham,504.0,610.0,82.6,9299.0,3625.0,229.0,249.0,92.0,212.0,241.0,88.0,58.0,107.0,54.2,1.9,-1.3,9.0,52.0,5.0,2.0,511.0,98.0,33.0,1.0,5.0,36.0,52.0,13.0,11.0,2.0,0.0,1.0,10.0,15.0,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,5.0,1.0,9.0,11.0,81.8,2.0,9.0,4.0,5.0,8.0,19.0,37.0,0.0,687.0,45.0,270.0,328.0,94.0,2.0,687.0,2.0,1.0,50.0,1.0,50.0,291.0,1102.0,526.0,8.0,0.0,4.0,0.0,437.0,46.0,24.1,76.0,4,8,8.0,13,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.01,0.0,4.0,2.0,0.0,0.0,0.0,0.0,36.0,7.0,7.0,50.0
Aaron Wan-Bissaka,cd COD,DF,26.0,36,35,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cd COD,DF,26.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,15.1,0.0,0.07,0.8,0.8,Matches,West Ham,1472.0,1815.0,81.1,20696.0,7523.0,953.0,1056.0,90.2,449.0,550.0,81.6,48.0,105.0,45.7,2.8,1.5,33.0,94.0,35.0,11.0,1568.0,243.0,11.0,5.0,1.0,76.0,232.0,0.0,0.0,0.0,0.0,4.0,62.0,93.0,2.65,75.0,4.0,7.0,3.0,2.0,2.0,10.0,0.29,9.0,0.0,0.0,1.0,0.0,0.0,70.0,49.0,33.0,32.0,5.0,23.0,32.0,71.9,9.0,37.0,11.0,26.0,66.0,136.0,125.0,0.0,2256.0,147.0,682.0,969.0,637.0,48.0,2256.0,122.0,64.0,52.5,43.0,35.2,1092.0,6700.0,3661.0,65.0,15.0,35.0,22.0,1322.0,88.0,92.2,89.0,33,1,29.0,1,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,0.0,25.0,27.0,5.0,0.0,0.0,1.0,174.0,22.0,33.0,40.0
Alphonse Areola,fr FRA,GK,31.0,26,25,2260.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,West Ham,fr FRA,GK,31.0,26.0,25.0,2260.0,25.1,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,N/a,Matches,West Ham,0.0,5.0,3.0,35.4,0.31,-2.6,-0.1,135.0,384.0,35.2,788.0,119.0,34.4,32.1,196.0,57.7,42.9,394.0,15.0,3.8,30.0,1.19,15.0,fr FRA,GK,31.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,West Ham,688.0,989.0,69.6,18224.0,12284.0,153.0,154.0,99.4,334.0,350.0,95.4,198.0,473.0,41.9,0.0,0.0,0.0,11.0,0.0,0.0,716.0,268.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,15.0,3.0,1049.0,833.0,1038.0,12.0,0.0,0.0,1049.0,0.0,0.0,N/a,0.0,N/a,601.0,2480.0,1348.0,0.0,0.0,0.0,0.0,555.0,87.0,66.1,88.0,24,1,55.0,8,0.96,29.0,41.0,-12.0,-0.48,-0.17,30.1,37.3,-7.2,-0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,0.0,100.0
Andy Irving,sct SCO,MF,24.0,10,1,166.0,1.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.4,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,sct SCO,MF,24.0,4.0,2.0,50.0,2.17,1.08,0.0,0.0,26.2,0.0,0.03,-0.1,-0.1,Matches,West Ham,109.0,124.0,87.9,1705.0,439.0,61.0,64.0,95.3,36.0,43.0,83.7,9.0,9.0,100.0,0.1,-0.2,1.0,14.0,1.0,1.0,120.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.68,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,3.0,1.0,1.0,5.0,20.0,4.0,5.0,1.0,4.0,1.0,8.0,5.0,0.0,150.0,7.0,37.0,89.0,24.0,0.0,150.0,1.0,1.0,100.0,0.0,0.0,73.0,305.0,137.0,1.0,0.0,1.0,3.0,104.0,17.0,4.9,76.0,0,9,10.0,15,1.1,1.0,4.0,-3.0,-1.63,-1.27,2.4,4.3,-1.9,-1.03,-0.73,0.0,6.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Carlos Soler,es ESP,"MF,FW",27.0,31,14,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,6.0,0.0,1.8,1.8,1.4,3.2,17.0,56.0,37.0,0.06,0.06,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,es ESP,"MF,FW",27.0,25.0,8.0,32.0,1.6,0.51,0.04,0.13,19.0,1.0,0.07,-0.8,-0.8,Matches,West Ham,570.0,669.0,85.2,8890.0,2414.0,308.0,326.0,94.5,212.0,246.0,86.2,32.0,59.0,54.2,1.9,-0.4,18.0,43.0,13.0,0.0,605.0,62.0,28.0,4.0,6.0,34.0,4.0,21.0,11.0,6.0,0.0,2.0,10.0,51.0,3.26,31.0,9.0,2.0,5.0,3.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,9.0,6.0,1.0,7.0,23.0,30.4,16.0,19.0,6.0,13.0,8.0,24.0,21.0,2.0,794.0,27.0,180.0,409.0,210.0,26.0,794.0,18.0,8.0,44.4,9.0,50.0,367.0,1806.0,783.0,17.0,4.0,14.0,14.0,539.0,45.0,41.2,67.0,1,17,28.0,2,1.16,16.0,25.0,-9.0,-0.57,-0.26,16.8,28.2,-11.4,-0.73,-0.67,0.0,26.0,19.0,0.0,0.0,0.0,0.0,64.0,10.0,12.0,45.5
Crysencio Summerville,nl NED,"FW,MF",22.0,19,7,786.0,8.7,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nl NED,"FW,MF",22.0,14.0,4.0,28.6,1.6,0.46,0.07,0.25,13.4,0.0,0.12,-0.6,-0.6,Matches,West Ham,194.0,254.0,76.4,2881.0,640.0,125.0,148.0,84.5,55.0,62.0,88.7,11.0,22.0,50.0,1.7,-0.7,17.0,13.0,12.0,5.0,241.0,13.0,2.0,3.0,0.0,21.0,2.0,8.0,6.0,0.0,0.0,0.0,13.0,35.0,4.01,21.0,3.0,5.0,0.0,5.0,1.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,2.0,8.0,3.0,3.0,9.0,33.3,6.0,13.0,4.0,9.0,0.0,13.0,7.0,0.0,372.0,9.0,47.0,147.0,181.0,38.0,372.0,39.0,13.0,33.3,18.0,46.2,207.0,1463.0,762.0,15.0,13.0,20.0,16.0,259.0,41.0,23.0,67.0,1,12,26.0,1,1.05,13.0,20.0,-7.0,-0.8,-0.49,13.6,17.1,-3.5,-0.4,-0.09,0.0,9.0,23.0,4.0,0.0,0.0,0.0,38.0,4.0,9.0,30.8
Danny Ings,eng ENG,"FW,MF",32.0,15,1,284.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.3,2.3,1.3,3.5,6.0,5.0,29.0,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",32.0,14.0,5.0,35.7,4.44,1.58,0.07,0.2,15.5,0.0,0.16,-1.3,-1.3,Matches,West Ham,63.0,92.0,68.5,830.0,126.0,41.0,49.0,83.7,19.0,29.0,65.5,1.0,5.0,20.0,0.1,0.7,6.0,4.0,1.0,0.0,86.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,3.8,7.0,0.0,1.0,3.0,1.0,0.0,2.0,0.63,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,5.0,0.0,5.0,1.0,5.0,4.0,0.0,139.0,2.0,15.0,51.0,73.0,27.0,139.0,7.0,4.0,57.1,2.0,28.6,63.0,324.0,118.0,0.0,2.0,6.0,6.0,96.0,19.0,8.3,45.0,0,14,17.0,15,1.07,4.0,4.0,0.0,0.0,0.46,8.0,4.7,3.3,1.05,1.51,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,8.0,10.0,44.4
Edson Álvarez,mx MEX,MF,26.0,28,20,1772.0,19.7,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.4,0.4,0.8,1.2,24.0,85.0,18.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,mx MEX,MF,26.0,12.0,1.0,8.3,0.61,0.05,0.0,0.0,26.3,0.0,0.03,-0.4,-0.4,Matches,West Ham,861.0,1003.0,85.8,14393.0,4200.0,424.0,475.0,89.3,361.0,402.0,89.8,66.0,92.0,71.7,0.9,0.2,12.0,92.0,12.0,3.0,980.0,16.0,12.0,3.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,28.0,1.42,24.0,0.0,2.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,27.0,15.0,8.0,17.0,35.0,48.6,18.0,23.0,8.0,15.0,18.0,68.0,46.0,1.0,1239.0,67.0,361.0,693.0,194.0,12.0,1239.0,33.0,14.0,42.4,14.0,42.4,687.0,3783.0,1714.0,22.0,2.0,27.0,15.0,830.0,63.0,51.8,76.0,4,8,32.0,2,1.25,19.0,29.0,-10.0,-0.51,-0.18,23.5,29.7,-6.2,-0.32,0.04,1.0,42.0,18.0,4.0,0.0,0.0,0.0,88.0,30.0,23.0,56.6
Emerson Palmieri,it ITA,DF,29.0,31,26,2113.0,23.5,2.0,1.0,3.0,2.0,0.0,5.0,0.0,2.0,2.0,1.5,3.4,47.0,66.0,83.0,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,it ITA,DF,29.0,16.0,7.0,43.8,0.68,0.3,0.13,0.29,19.0,3.0,0.12,0.0,0.0,Matches,West Ham,861.0,1077.0,79.9,12546.0,4549.0,515.0,574.0,89.7,283.0,348.0,81.3,43.0,102.0,42.2,2.2,-0.5,16.0,51.0,13.0,5.0,887.0,185.0,20.0,1.0,2.0,64.0,140.0,25.0,7.0,15.0,0.0,5.0,23.0,41.0,1.75,25.0,11.0,0.0,2.0,2.0,1.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,60.0,31.0,37.0,18.0,5.0,27.0,48.0,56.3,21.0,32.0,8.0,24.0,21.0,81.0,59.0,0.0,1325.0,82.0,422.0,559.0,359.0,28.0,1325.0,30.0,10.0,33.3,17.0,56.7,555.0,3013.0,1737.0,25.0,9.0,24.0,7.0,747.0,68.0,61.8,77.0,7,5,24.0,4,1.16,32.0,41.0,-9.0,-0.38,0.1,28.0,37.1,-9.1,-0.39,-0.14,0.0,25.0,13.0,0.0,0.0,0.0,0.0,84.0,18.0,20.0,47.4
Evan Ferguson,ie IRL,FW,19.0,8,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.32,0.17,0.5,0.32,0.5,Matches,West Ham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ie IRL,FW,19.0,5.0,1.0,20.0,2.88,0.58,0.0,0.0,17.2,0.0,0.11,-0.6,-0.6,Matches,West Ham,28.0,37.0,75.7,375.0,21.0,21.0,26.0,80.8,5.0,7.0,71.4,1.0,2.0,50.0,0.3,-0.3,2.0,1.0,0.0,0.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.31,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,N/a,0.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,66.0,1.0,6.0,30.0,31.0,10.0,66.0,5.0,3.0,60.0,2.0,40.0,31.0,123.0,41.0,1.0,1.0,8.0,5.0,42.0,20.0,4.6,45.0,0,7,16.0,4,1.13,0.0,2.0,-2.0,-1.15,-0.77,1.9,1.3,0.6,0.36,0.72,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,10.0,33.3
