Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Adam Smith,eng ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,33.0,17.7,0.0,3.0,0.0,0.0,0.17,0.0,0.0,N/a,16.9,0.0,0.0,0.0,0.7,0.7,0.22,-0.7,-0.7,Matches,Bournemouth,514.0,679.0,75.7,8452.0,2723.0,244.0,275.0,88.7,222.0,279.0,79.6,32.0,89.0,36.0,0.0,0.4,0.7,-0.4,8.0,49.0,10.0,5.0,49.0,550.0,128.0,9.0,1.0,2.0,33.0,119.0,0.0,0.0,0.0,0.0,1.0,15.0,23.0,1.3,17.0,1.0,1.0,0.0,3.0,1.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,24.0,12.0,11.0,7.0,6.0,14.0,27.0,51.9,13.0,13.0,5.0,8.0,15.0,39.0,49.0,1.0,825.0,41.0,240.0,394.0,197.0,8.0,825.0,16.0,6.0,37.5,7.0,43.8,366.0,1552.0,711.0,15.0,18.0,1.0,13.0,7.0,403.0,34.0,64,46.5,19,75,7,6,28,1,1.48,25,18,+7,+0.40,+0.15,29.7,18.9,+10.8,+0.61,+0.38,7.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,50.0,14.0,15.0,48.3
Alex Scott,eng ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,20.0,8.4,0.0,15.0,6.0,40.0,1.79,0.72,0.0,0.0,21.1,1.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Matches,Bournemouth,286.0,342.0,83.6,4583.0,1359.0,142.0,159.0,89.3,112.0,121.0,92.6,20.0,35.0,57.1,0.0,0.9,1.0,-0.9,12.0,41.0,5.0,1.0,52.0,317.0,23.0,10.0,2.0,4.0,7.0,1.0,5.0,3.0,0.0,0.0,2.0,6.0,29.0,3.45,19.0,2.0,0.0,2.0,3.0,3.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,11.0,8.0,8.0,19.0,42.0,45.2,23.0,17.0,4.0,13.0,10.0,37.0,15.0,0.0,485.0,24.0,90.0,257.0,144.0,18.0,485.0,26.0,6.0,23.1,13.0,50.0,247.0,1401.0,663.0,15.0,10.0,3.0,23.0,8.0,294.0,33.0,38,22.1,8,59,0,12,24,1,1.35,10,8,+2,+0.24,-0.10,12.0,10.0,+1.9,+0.23,-0.23,3.0,0.0,0.0,17.0,26.0,0.0,0.0,0.0,0.0,52.0,7.0,7.0,50.0
Antoine Semenyo,gh GHA,FW,24,37,36,3203,35.6,11,5,16,11,0,0,9,0,10.0,10.0,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gh GHA,FW,24.0,35.6,11.0,125.0,40.0,32.0,3.51,1.12,0.09,0.28,17.0,0.0,0.0,0.0,10.0,10.0,0.08,1.0,1.0,Matches,Bournemouth,821.0,1119.0,73.4,11674.0,2915.0,501.0,586.0,85.5,252.0,334.0,75.4,37.0,97.0,38.1,5.0,5.8,4.3,-0.8,46.0,49.0,45.0,8.0,109.0,1049.0,60.0,4.0,9.0,6.0,59.0,53.0,3.0,0.0,1.0,0.0,10.0,40.0,132.0,3.71,85.0,4.0,21.0,15.0,5.0,2.0,13.0,0.37,7.0,1.0,2.0,1.0,2.0,0.0,55.0,35.0,17.0,25.0,13.0,16.0,43.0,37.2,27.0,67.0,9.0,58.0,11.0,66.0,39.0,2.0,1653.0,46.0,206.0,573.0,909.0,191.0,1653.0,135.0,69.0,51.1,57.0,42.2,979.0,7353.0,3581.0,140.0,69.0,67.0,84.0,77.0,1140.0,282.0,87,93.7,36,88,28,1,26,0,1.43,53,41,+12,+0.34,+0.34,57.8,43.8,+14.0,+0.39,-0.25,9.0,0.0,0.0,73.0,37.0,15.0,1.0,0.0,0.0,158.0,66.0,76.0,46.5
Archie Harris,wls WAL,DF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Ben Winterburn,eng ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,FW",19.0,0.3,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Bournemouth,5.0,7.0,71.4,93.0,44.0,2.0,3.0,66.7,3.0,4.0,75.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,2.0,5.0,2.0,1.0,9.0,0.0,0.0,N/a,0.0,N/a,6.0,50.0,40.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,6,0.7,0,N/a,0,4,6,16,2.00,2,0,+2,+7.50,+7.23,1.3,0.2,+1.1,+4.13,+3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Callan Mckenna,sct SCO,GK,17,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Dango Ouattara,bf BFA,FW,22,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,bf BFA,FW,22.0,22.3,7.0,62.0,20.0,32.3,2.78,0.9,0.11,0.35,13.5,1.0,0.0,0.0,8.4,8.4,0.14,-1.4,-1.4,Matches,Bournemouth,367.0,612.0,60.0,5725.0,1706.0,210.0,288.0,72.9,120.0,193.0,62.2,25.0,67.0,37.3,4.0,5.5,3.3,-1.5,35.0,21.0,26.0,11.0,43.0,579.0,30.0,0.0,5.0,5.0,88.0,26.0,3.0,1.0,0.0,0.0,3.0,22.0,72.0,3.23,57.0,0.0,3.0,10.0,1.0,1.0,6.0,0.27,4.0,0.0,1.0,1.0,0.0,0.0,35.0,26.0,14.0,11.0,10.0,17.0,41.0,41.5,24.0,36.0,10.0,26.0,11.0,46.0,51.0,0.0,959.0,62.0,165.0,316.0,497.0,128.0,959.0,82.0,39.0,47.6,34.0,41.5,492.0,3577.0,1777.0,79.0,35.0,38.0,63.0,32.0,577.0,191.0,63,58.6,21,81,7,11,27,0,1.56,36,23,+13,+0.58,+0.65,35.9,31.2,+4.7,+0.21,-0.48,3.0,0.0,0.0,16.0,19.0,14.0,0.0,0.0,0.0,92.0,45.0,63.0,41.7
Daniel Adu-Adjei,eng ENG,FW,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Daniel Jebbison,ca CAN,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,4,3,16,0.76,0.00,0.76,0.76,0.76,0.75,0.15,0.90,0.75,0.90,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ca CAN,FW,20.0,1.3,1.0,5.0,2.0,40.0,3.78,1.51,0.2,0.5,10.6,0.0,0.0,0.0,1.0,1.0,0.2,0.0,0.0,Matches,Bournemouth,33.0,42.0,78.6,361.0,44.0,21.0,23.0,91.3,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.2,0.1,-0.2,3.0,1.0,1.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.54,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,4.0,6.0,66.7,2.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,78.0,3.0,10.0,25.0,44.0,14.0,78.0,7.0,4.0,57.1,3.0,42.9,44.0,277.0,95.0,4.0,2.0,5.0,13.0,5.0,47.0,16.0,7,3.5,0,N/a,0,16,7,4,1.25,7,2,+5,+3.78,+3.59,3.5,2.0,+1.5,+1.12,+0.74,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,16.7
David Brooks,wls WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0,2.5,2.5,1.9,4.4,35,35,83,0.19,0.00,0.19,0.19,0.19,0.24,0.18,0.41,0.24,0.41,Matches,Bournemouth,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,wls WAL,"FW,MF",27.0,10.7,2.0,25.0,12.0,48.0,2.34,1.13,0.08,0.17,16.3,0.0,0.0,0.0,2.5,2.5,0.1,-0.5,-0.5,Matches,Bournemouth,310.0,411.0,75.4,4795.0,1429.0,176.0,205.0,85.9,101.0,130.0,77.7,24.0,47.0,51.1,0.0,1.9,2.0,-1.9,20.0,22.0,18.0,6.0,35.0,366.0,44.0,14.0,3.0,0.0,52.0,10.0,17.0,7.0,4.0,0.0,1.0,14.0,46.0,4.31,36.0,6.0,2.0,2.0,0.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0,14.0,6.0,2.0,8.0,4.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,5.0,19.0,9.0,1.0,545.0,15.0,59.0,207.0,289.0,39.0,545.0,34.0,11.0,32.4,20.0,58.8,342.0,2344.0,1115.0,35.0,25.0,10.0,30.0,14.0,375.0,83.0,33,28.1,9,67,0,20,18,7,1.41,23,12,+11,+1.03,+0.99,20.7,14.7,+5.9,+0.56,+0.21,3.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0,50.0,7.0,10.0,41.2
