Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Adama Traoré,es ESP,"FW,MF",28.0,36,18,1772.0,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,4.0,4.0,4.9,8.9,100.0,68.0,161.0,0.1,0.36,0.46,0.1,0.46,0.2,0.25,0.45,0.2,0.45,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,es ESP,"FW,MF",28.0,39.0,12.0,30.8,1.98,0.61,0.05,0.17,14.2,0.0,0.1,-2.0,-2.0,Matches,Fulham,424.0,587.0,72.2,6645.0,1683.0,236.0,286.0,82.5,143.0,194.0,73.7,30.0,54.0,55.6,4.5,2.1,42.0,36.0,38.0,22.0,584.0,1.0,0.0,6.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,2.0,19.0,82.0,4.16,66.0,0.0,9.0,4.0,1.0,2.0,10.0,0.51,9.0,0.0,1.0,0.0,0.0,0.0,20.0,13.0,9.0,6.0,5.0,5.0,13.0,38.5,8.0,7.0,0.0,7.0,1.0,21.0,6.0,4.0,801.0,4.0,83.0,285.0,455.0,91.0,801.0,97.0,48.0,49.5,36.0,37.1,538.0,4631.0,2486.0,45.0,33.0,37.0,25.0,607.0,49.0,51.8,76.0,4,18,23.0,1,1.47,32.0,28.0,4.0,0.2,0.42,27.9,24.6,3.3,0.17,0.25,0.0,24.0,32.0,1.0,0.0,0.0,0.0,87.0,25.0,26.0,49.0
Alex Iwobi,ng NGA,"FW,MF",28.0,38,35,2981.0,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,4.7,4.7,7.0,11.8,144.0,213.0,246.0,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ng NGA,"FW,MF",28.0,68.0,29.0,42.6,2.05,0.88,0.13,0.31,18.3,0.0,0.07,4.3,4.3,Matches,Fulham,1150.0,1532.0,75.1,19530.0,5723.0,582.0,671.0,86.7,448.0,574.0,78.0,98.0,184.0,53.3,7.0,-1.0,59.0,115.0,86.0,19.0,1487.0,39.0,7.0,15.0,21.0,126.0,24.0,2.0,0.0,1.0,0.0,6.0,52.0,122.0,3.68,106.0,0.0,8.0,6.0,2.0,0.0,16.0,0.48,13.0,0.0,2.0,1.0,0.0,0.0,44.0,25.0,14.0,21.0,9.0,22.0,34.0,64.7,12.0,26.0,1.0,25.0,14.0,58.0,29.0,1.0,1861.0,33.0,244.0,748.0,895.0,116.0,1861.0,97.0,48.0,49.5,42.0,43.3,1312.0,8012.0,4367.0,105.0,37.0,62.0,40.0,1447.0,78.0,87.2,83.0,14,3,26.0,0,1.42,40.0,45.0,-5.0,-0.15,-1.18,39.3,37.5,1.8,0.05,0.04,0.0,19.0,18.0,5.0,0.0,0.0,0.0,140.0,7.0,31.0,18.4
Andreas Pereira,br BRA,MF,28.0,33,25,2013.0,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.8,3.0,4.6,7.6,29.0,104.0,81.0,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,MF,28.0,38.0,8.0,21.1,1.7,0.36,0.05,0.25,21.8,6.0,0.08,-1.8,-1.0,Matches,Fulham,670.0,970.0,69.1,12139.0,3902.0,310.0,371.0,83.6,258.0,326.0,79.1,89.0,218.0,40.8,4.6,-0.6,57.0,67.0,19.0,4.0,761.0,205.0,50.0,5.0,8.0,171.0,9.0,109.0,53.0,47.0,0.0,4.0,26.0,104.0,4.65,54.0,41.0,0.0,4.0,4.0,1.0,8.0,0.36,4.0,2.0,0.0,0.0,2.0,0.0,24.0,13.0,8.0,11.0,5.0,10.0,42.0,23.8,32.0,17.0,2.0,15.0,8.0,32.0,17.0,3.0,1148.0,22.0,169.0,466.0,531.0,46.0,1147.0,30.0,14.0,46.7,8.0,26.7,578.0,2764.0,1341.0,38.0,9.0,29.0,22.0,676.0,61.0,58.9,74.0,3,8,22.0,2,1.39,31.0,32.0,-1.0,-0.04,-0.11,29.3,27.1,2.2,0.1,0.13,0.0,28.0,24.0,1.0,1.0,0.0,0.0,100.0,13.0,23.0,36.1
Antonee Robinson,us USA,DF,26.0,36,35,3167.0,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.2,4.9,118.0,131.0,274.0,0.0,0.28,0.28,0.0,0.28,0.02,0.12,0.14,0.02,0.14,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,us USA,DF,26.0,16.0,2.0,12.5,0.45,0.06,0.0,0.0,22.1,0.0,0.04,-0.7,-0.7,Matches,Fulham,1595.0,2076.0,76.8,27385.0,10017.0,763.0,881.0,86.6,678.0,853.0,79.5,134.0,239.0,56.1,4.1,5.8,43.0,115.0,56.0,29.0,1781.0,289.0,17.0,1.0,5.0,170.0,272.0,0.0,0.0,0.0,0.0,6.0,47.0,80.0,2.27,74.0,1.0,2.0,2.0,0.0,1.0,11.0,0.31,11.0,0.0,0.0,0.0,0.0,0.0,95.0,61.0,57.0,31.0,7.0,45.0,95.0,47.4,50.0,43.0,9.0,34.0,62.0,157.0,133.0,2.0,2523.0,139.0,828.0,942.0,788.0,70.0,2523.0,83.0,38.0,45.8,34.0,41.0,1343.0,7361.0,4230.0,61.0,30.0,44.0,20.0,1509.0,88.0,92.6,90.0,34,1,19.0,0,1.42,49.0,49.0,0.0,0.0,0.0,44.8,44.3,0.4,0.01,-0.48,0.0,31.0,20.0,7.0,0.0,0.0,0.0,157.0,50.0,26.0,65.8
Bernd Leno,de GER,GK,32.0,38,38,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Fulham,de GER,GK,32.0,38.0,3420.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,0.0,25.0,Matches,Fulham,6.0,2.0,48.9,0.29,-3.1,-0.08,141.0,367.0,38.4,1231.0,167.0,22.7,28.9,172.0,51.2,41.9,507.0,23.0,4.5,33.0,0.87,13.3,de GER,GK,32.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,Fulham,1149.0,1404.0,81.8,28206.0,16978.0,227.0,228.0,99.6,683.0,691.0,98.8,227.0,471.0,48.2,0.1,0.9,2.0,16.0,2.0,0.0,1160.0,243.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.16,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,5.0,1479.0,1190.0,1466.0,13.0,0.0,0.0,1479.0,0.0,0.0,N/a,0.0,N/a,955.0,3956.0,2233.0,0.0,0.0,0.0,0.0,862.0,90.0,100.0,90.0,38,0,N/a,0,1.42,54.0,54.0,0.0,0.0,N/a,49.0,47.2,1.8,0.05,N/a,0.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,9.0,1.0,90.0
Calvin Bassey,ng NGA,DF,24.0,35,34,3074.0,34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.1,1.2,39.0,116.0,15.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ng NGA,DF,24.0,14.0,4.0,28.6,0.41,0.12,0.07,0.25,15.3,0.0,0.07,0.0,0.0,Matches,Fulham,1934.0,2155.0,89.7,34171.0,11961.0,821.0,862.0,95.2,941.0,1003.0,93.8,140.0,228.0,61.4,0.4,-0.1,3.0,152.0,3.0,0.0,2025.0,128.0,48.0,0.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,17.0,23.0,0.67,19.0,1.0,2.0,0.0,0.0,1.0,3.0,0.09,2.0,0.0,0.0,0.0,0.0,1.0,54.0,34.0,35.0,19.0,0.0,22.0,31.0,71.0,9.0,40.0,17.0,23.0,20.0,74.0,118.0,8.0,2463.0,324.0,1205.0,1151.0,132.0,19.0,2463.0,33.0,15.0,45.5,11.0,33.3,1571.0,8212.0,4940.0,20.0,5.0,34.0,8.0,1716.0,88.0,89.9,90.0,34,1,14.0,2,1.51,49.0,47.0,2.0,0.06,0.58,44.5,38.9,5.7,0.17,1.16,0.0,26.0,32.0,2.0,0.0,0.0,0.0,168.0,43.0,33.0,56.6
Carlos Vinícius,br BRA,"MF,FW",29.0,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,"MF,FW",29.0,1.0,1.0,100.0,5.63,5.63,0.0,0.0,17.4,0.0,0.04,0.0,0.0,Matches,Fulham,1.0,3.0,33.3,14.0,0.0,1.0,2.0,50.0,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,3.0,2.0,7.0,1.0,1.0,100.0,0.0,0.0,7.0,24.0,11.0,0.0,1.0,1.0,0.0,6.0,5.0,0.5,N/a,0,3,5.0,8,1.33,1.0,1.0,0.0,0.0,0.0,0.7,0.1,0.6,3.37,3.34,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
Emile Smith Rowe,eng ENG,MF,24.0,34,25,2043.0,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,4.5,4.5,1.4,6.0,53.0,126.0,127.0,0.26,0.13,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,24.0,37.0,11.0,29.7,1.63,0.48,0.16,0.55,16.0,0.0,0.12,1.5,1.5,Matches,Fulham,922.0,1023.0,90.1,13141.0,2429.0,548.0,592.0,92.6,330.0,348.0,94.8,21.0,29.0,72.4,2.0,1.6,24.0,80.0,15.0,1.0,985.0,35.0,6.0,2.0,2.0,16.0,3.0,1.0,0.0,0.0,0.0,3.0,18.0,73.0,3.22,57.0,0.0,3.0,8.0,2.0,3.0,12.0,0.53,10.0,0.0,1.0,0.0,0.0,1.0,31.0,18.0,7.0,14.0,10.0,8.0,24.0,33.3,16.0,22.0,2.0,20.0,11.0,42.0,16.0,0.0,1223.0,20.0,166.0,591.0,476.0,60.0,1223.0,35.0,16.0,45.7,16.0,45.7,779.0,3728.0,1932.0,40.0,12.0,36.0,18.0,940.0,60.0,59.7,73.0,0,9,24.0,0,1.38,29.0,28.0,1.0,0.04,0.11,29.5,25.0,4.5,0.2,0.38,0.0,19.0,14.0,4.0,0.0,0.0,0.0,75.0,6.0,20.0,23.1
Harrison Reed,eng ENG,MF,29.0,12,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,29.0,3.0,2.0,66.7,2.5,1.67,0.0,0.0,21.7,0.0,0.08,-0.2,-0.2,Matches,Fulham,39.0,55.0,70.9,550.0,138.0,21.0,24.0,87.5,13.0,17.0,76.5,2.0,5.0,40.0,0.1,-0.1,1.0,1.0,1.0,0.0,46.0,8.0,5.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,78.0,2.0,11.0,28.0,40.0,5.0,78.0,2.0,0.0,0.0,1.0,50.0,31.0,95.0,27.0,1.0,0.0,2.0,2.0,38.0,9.0,3.2,N/a,0,12,9.0,14,1.75,1.0,3.0,-2.0,-1.67,-1.72,1.3,4.6,-3.3,-2.96,-3.1,0.0,6.0,2.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0,33.3
Harry Wilson,wls WAL,"FW,MF",27.0,25,12,1162.0,12.9,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.2,4.2,1.1,5.3,22.0,51.0,96.0,0.46,0.08,0.54,0.46,0.54,0.33,0.09,0.41,0.33,0.41,Matches,Fulham,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,wls WAL,"FW,MF",27.0,43.0,17.0,39.5,3.33,1.32,0.14,0.35,18.0,1.0,0.1,1.8,1.8,Matches,Fulham,326.0,445.0,73.3,5413.0,1378.0,171.0,200.0,85.5,121.0,156.0,77.6,29.0,71.0,40.8,1.2,-0.1,20.0,26.0,15.0,1.0,393.0,51.0,16.0,1.0,5.0,41.0,4.0,27.0,14.0,6.0,1.0,1.0,6.0,44.0,3.41,30.0,6.0,0.0,5.0,2.0,1.0,3.0,0.23,2.0,0.0,0.0,0.0,1.0,0.0,20.0,14.0,13.0,3.0,4.0,12.0,18.0,66.7,6.0,15.0,1.0,14.0,7.0,27.0,10.0,1.0,598.0,11.0,81.0,203.0,324.0,63.0,598.0,24.0,9.0,37.5,10.0,41.7,342.0,1879.0,864.0,18.0,11.0,19.0,6.0,390.0,46.0,34.0,77.0,1,13,18.0,3,1.28,23.0,21.0,2.0,0.15,0.23,16.6,16.7,-0.1,-0.01,-0.09,0.0,12.0,22.0,1.0,1.0,0.0,0.0,55.0,5.0,20.0,20.0
