Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Abdul Fatawu Issahaku,gh GHA,FW,20,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gh GHA,FW,20.0,6.4,0.0,13.0,5.0,38.5,2.02,0.78,0.0,0.0,31.2,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,Matches,Leicester City,123.0,197.0,62.4,2150.0,601.0,59.0,81.0,72.8,45.0,59.0,76.3,16.0,33.0,48.5,2.0,1.6,1.4,0.4,6.0,7.0,7.0,2.0,17.0,186.0,11.0,1.0,2.0,2.0,30.0,9.0,1.0,0.0,0.0,0.0,0.0,18.0,17.0,2.64,10.0,0.0,2.0,1.0,4.0,0.0,3.0,0.47,2.0,0.0,0.0,1.0,0.0,0.0,21.0,15.0,13.0,2.0,6.0,11.0,19.0,57.9,8.0,7.0,0.0,7.0,4.0,25.0,12.0,0.0,326.0,19.0,73.0,114.0,157.0,26.0,326.0,69.0,29.0,42.0,28.0,40.6,217.0,1869.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,53,16.9,6,86,5,5,12,0,0.91,7,14,-7,-1.09,+0.18,6.8,10.7,-3.9,-0.60,+0.52,0.0,0.0,0.0,11.0,20.0,2.0,0.0,0.0,0.0,38.0,14.0,13.0,51.9
Benjamin Nelson,eng ENG,DF,20,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Bilal El Khannouss,ma MAR,"MF,FW",20,32,27,2182,24.2,2,3,5,2,0,0,4,0,1.3,1.3,4.6,5.8,73,128,89,0.08,0.12,0.21,0.08,0.21,0.05,0.19,0.24,0.05,0.24,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ma MAR,"MF,FW",20.0,24.2,2.0,30.0,7.0,23.3,1.24,0.29,0.07,0.29,22.0,0.0,0.0,0.0,1.3,1.3,0.04,0.7,0.7,Matches,Leicester City,798.0,1063.0,75.1,14413.0,4123.0,372.0,434.0,85.7,306.0,381.0,80.3,101.0,170.0,59.4,3.0,4.6,3.1,-1.6,42.0,89.0,31.0,6.0,128.0,928.0,130.0,28.0,11.0,8.0,89.0,14.0,36.0,19.0,10.0,1.0,5.0,26.0,78.0,3.22,54.0,9.0,8.0,4.0,3.0,0.0,7.0,0.29,5.0,1.0,0.0,1.0,0.0,0.0,50.0,30.0,16.0,29.0,5.0,17.0,32.0,53.1,15.0,22.0,4.0,18.0,6.0,56.0,10.0,3.0,1268.0,18.0,183.0,655.0,445.0,35.0,1268.0,60.0,34.0,56.7,23.0,38.3,732.0,4494.0,2038.0,73.0,45.0,12.0,38.0,38.0,851.0,89.0,68,63.8,27,78,8,5,16,3,0.63,17,54,-37,-1.53,-0.80,20.0,47.6,-27.6,-1.14,-0.30,4.0,0.0,0.0,30.0,13.0,1.0,0.0,0.0,0.0,92.0,19.0,24.0,44.2
Bobby De Cordova-Reid,jm JAM,FW,31,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.10,0.15,0.24,0.10,0.24,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,jm JAM,FW,31.0,8.3,1.0,7.0,3.0,42.9,0.85,0.36,0.14,0.33,25.1,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2,Matches,Leicester City,145.0,206.0,70.4,1883.0,587.0,88.0,108.0,81.5,39.0,53.0,73.6,5.0,15.0,33.3,2.0,1.2,0.2,0.8,6.0,9.0,5.0,0.0,15.0,198.0,8.0,1.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,1.57,8.0,0.0,0.0,3.0,2.0,0.0,3.0,0.36,1.0,0.0,0.0,1.0,1.0,0.0,9.0,4.0,3.0,6.0,0.0,4.0,14.0,28.6,10.0,6.0,1.0,5.0,0.0,9.0,10.0,0.0,272.0,15.0,49.0,114.0,109.0,16.0,272.0,10.0,0.0,0.0,8.0,80.0,174.0,816.0,389.0,14.0,5.0,6.0,11.0,10.0,188.0,48.0,32,21.8,9,67,0,14,10,9,0.65,9,17,-8,-0.97,+0.34,7.1,14.6,-7.5,-0.90,+0.17,2.0,0.0,0.0,9.0,9.0,4.0,1.0,0.0,0.0,29.0,6.0,14.0,30.0
Boubakary Soumaré,fr FRA,MF,25,31,25,2171,24.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,34,105,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,MF,25.0,24.1,0.0,7.0,0.0,0.0,0.29,0.0,0.0,N/a,23.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,Leicester City,1073.0,1234.0,87.0,16191.0,4336.0,581.0,632.0,91.9,414.0,471.0,87.9,42.0,60.0,70.0,0.0,0.4,1.0,-0.4,11.0,95.0,16.0,3.0,105.0,1220.0,11.0,8.0,3.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,35.0,1.45,27.0,0.0,5.0,1.0,2.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,24.0,12.0,1.0,21.0,33.0,63.6,12.0,22.0,10.0,12.0,27.0,64.0,34.0,4.0,1441.0,73.0,386.0,903.0,166.0,18.0,1441.0,45.0,27.0,60.0,14.0,31.1,847.0,3904.0,2011.0,34.0,19.0,4.0,24.0,22.0,1013.0,23.0,70,63.5,25,83,19,6,15,4,0.65,17,52,-35,-1.45,-0.59,19.7,45.7,-26.1,-1.08,-0.13,8.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,140.0,21.0,11.0,65.6
Caleb Okoli,it ITA,DF,23,19,12,1125,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,it ITA,DF,23.0,12.5,1.0,4.0,2.0,50.0,0.32,0.16,0.25,0.5,13.5,0.0,0.0,0.0,0.6,0.6,0.15,0.4,0.4,Matches,Leicester City,559.0,648.0,86.3,9749.0,3849.0,243.0,266.0,91.4,273.0,301.0,90.7,36.0,65.0,55.4,0.0,0.0,0.2,0.0,0.0,21.0,1.0,0.0,32.0,597.0,51.0,21.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.32,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,8.0,15.0,2.0,11.0,18.0,61.1,7.0,24.0,14.0,10.0,15.0,40.0,79.0,3.0,806.0,152.0,451.0,325.0,35.0,10.0,806.0,0.0,0.0,N/a,0.0,N/a,468.0,2318.0,1106.0,3.0,6.0,0.0,10.0,2.0,484.0,2.0,59,32.9,12,85,8,7,16,18,0.53,15,26,-11,-0.88,+0.53,11.8,27.0,-15.2,-1.21,-0.27,4.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,44.0,23.0,21.0,52.3
Conor Coady,eng ENG,DF,31,22,19,1714,19.0,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,3,32,0,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.03,0.02,0.03,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,31.0,19.0,1.0,2.0,2.0,100.0,0.11,0.11,0.5,0.5,6.9,0.0,0.0,0.0,0.4,0.4,0.21,0.6,0.6,Matches,Leicester City,977.0,1072.0,91.1,17121.0,6371.0,405.0,418.0,96.9,507.0,523.0,96.9,61.0,112.0,54.5,0.0,0.1,0.5,-0.1,1.0,34.0,2.0,0.0,32.0,1010.0,58.0,29.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,6.0,6.0,1.0,3.0,6.0,50.0,3.0,32.0,24.0,8.0,13.0,26.0,71.0,2.0,1210.0,234.0,689.0,503.0,20.0,8.0,1210.0,2.0,1.0,50.0,1.0,50.0,789.0,3430.0,1820.0,3.0,3.0,1.0,4.0,3.0,878.0,0.0,78,50.1,19,89,16,3,7,13,0.73,16,42,-26,-1.37,-0.26,15.1,38.2,-23.1,-1.21,-0.36,3.0,0.0,0.0,8.0,2.0,1.0,0.0,2.0,0.0,62.0,13.0,22.0,37.1
Daniel Iversen,dk DEN,GK,27,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Danny Ward,wls WAL,GK,31,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,wls WAL,GK,31.0,2.0,1.0,135.0,1.5,6.0,4.0,10.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,Matches,Leicester City,0.0,0.0,2.8,0.28,-3.2,-2.11,10.0,22.0,45.5,46.0,9.0,37.0,32.0,7.0,71.4,52.0,11.0,0.0,0.0,2.0,1.33,20.7,wls WAL,GK,31.0,1.5,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,41.0,53.0,77.4,1162.0,949.0,6.0,6.0,100.0,20.0,20.0,100.0,15.0,27.0,55.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,40.0,55.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,1.0,100.0,44.0,176.0,107.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,68,3.9,1,90,1,1,45,14,0.00,0,6,-6,-4.00,-2.88,0.9,3.4,-2.5,-1.70,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N/a
Facundo Buonanotte,ar ARG,"FW,MF",19,31,14,1523,16.9,5,2,7,5,0,0,8,0,3.9,3.9,3.1,7.0,39,54,74,0.30,0.12,0.41,0.30,0.41,0.23,0.18,0.41,0.23,0.41,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,"FW,MF",19.0,16.9,5.0,36.0,12.0,33.3,2.13,0.71,0.14,0.42,17.6,0.0,0.0,0.0,3.9,3.9,0.11,1.1,1.1,Matches,Leicester City,437.0,572.0,76.4,6930.0,1757.0,236.0,276.0,85.5,150.0,182.0,82.4,35.0,74.0,47.3,2.0,3.1,2.3,-1.1,24.0,41.0,13.0,2.0,54.0,501.0,67.0,24.0,7.0,4.0,43.0,10.0,26.0,19.0,1.0,0.0,4.0,9.0,51.0,3.01,27.0,11.0,9.0,1.0,3.0,0.0,5.0,0.3,1.0,2.0,2.0,0.0,0.0,0.0,53.0,32.0,17.0,22.0,14.0,21.0,67.0,31.3,46.0,34.0,6.0,28.0,12.0,65.0,14.0,0.0,874.0,26.0,128.0,452.0,307.0,39.0,874.0,83.0,28.0,33.7,49.0,59.0,479.0,2997.0,1347.0,39.0,26.0,9.0,58.0,39.0,528.0,74.0,49,44.5,14,80,6,17,24,3,0.52,17,33,-16,-0.95,+0.53,16.8,28.6,-11.8,-0.70,+0.60,8.0,0.0,0.0,37.0,35.0,3.0,0.0,0.0,0.0,79.0,18.0,36.0,33.3
