Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Playing Time_Mn/MP,Playing Time_Min%,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Alexis Mac Allister,ar ARG,MF,25.0,35,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,4.7,7.5,36.0,177.0,80.0,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,MF,25.0,38.0,13.0,34.2,1.32,0.45,0.13,0.38,18.1,1.0,0.07,2.2,2.2,Matches,Liverpool,1273.0,1524.0,83.5,20344.0,5748.0,658.0,729.0,90.3,493.0,558.0,88.4,89.0,160.0,55.6,5.6,0.3,45.0,122.0,35.0,2.0,1403.0,116.0,35.0,6.0,3.0,86.0,9.0,71.0,26.0,36.0,0.0,5.0,31.0,120.0,4.15,83.0,24.0,2.0,6.0,2.0,3.0,15.0,0.52,10.0,3.0,0.0,2.0,0.0,0.0,95.0,58.0,28.0,51.0,16.0,55.0,104.0,52.9,49.0,61.0,6.0,55.0,22.0,117.0,29.0,1.0,1860.0,56.0,284.0,960.0,637.0,60.0,1860.0,42.0,16.0,38.1,21.0,50.0,915.0,3782.0,2018.0,43.0,5.0,31.0,22.0,1228.0,74.0,76.0,82.0,17,5,26.0,0,2.34,69.0,24.0,45.0,1.56,1.56,64.2,24.3,39.9,1.38,0.98,0.0,62.0,40.0,2.0,0.0,0.0,0.0,148.0,19.0,34.0,35.8
Alisson,br BRA,GK,31.0,28,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool,br BRA,GK,31.0,28.0,28.0,2508.0,27.9,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,1.0,0.0,0.0,0.0,Matches,Liverpool,2.0,2.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,80.0,37.5,33.4,255.0,11.0,4.3,49.0,1.76,16.0,br BRA,GK,31.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,Liverpool,794.0,959.0,82.8,17555.0,11360.0,229.0,232.0,98.7,426.0,433.0,98.4,137.0,289.0,47.4,0.2,-0.6,1.0,12.0,0.0,0.0,836.0,121.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,1010.0,741.0,990.0,20.0,0.0,0.0,1010.0,1.0,1.0,100.0,0.0,0.0,658.0,2611.0,1586.0,0.0,0.0,1.0,0.0,618.0,90.0,73.3,90.0,27,0,N/a,0,2.18,64.0,29.0,35.0,1.26,0.27,62.2,27.4,34.9,1.25,0.39,0.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,7.0,0.0,100.0
Amara Nallo,eng ENG,DF,17.0,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Andrew Robertson,sct SCO,DF,30.0,33,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,64.0,176.0,108.0,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,sct SCO,DF,30.0,15.0,2.0,13.3,0.54,0.07,0.0,0.0,14.9,0.0,0.08,-1.2,-1.2,Matches,Liverpool,1559.0,1885.0,82.7,26310.0,8406.0,760.0,806.0,94.3,672.0,779.0,86.3,110.0,237.0,46.4,4.3,-3.6,40.0,150.0,31.0,17.0,1579.0,300.0,50.0,4.0,6.0,147.0,191.0,59.0,41.0,11.0,0.0,6.0,35.0,80.0,2.9,68.0,9.0,1.0,1.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,25.0,10.0,4.0,31.0,51.0,60.8,20.0,10.0,4.0,6.0,21.0,60.0,54.0,2.0,2083.0,92.0,538.0,940.0,620.0,53.0,2083.0,18.0,7.0,38.9,10.0,55.6,1107.0,4939.0,2849.0,52.0,6.0,25.0,13.0,1398.0,75.0,72.6,82.0,16,4,29.0,5,2.27,70.0,31.0,39.0,1.41,0.84,61.0,27.3,33.7,1.22,0.27,0.0,11.0,8.0,3.0,0.0,1.0,1.0,105.0,7.0,14.0,33.3
Caoimhín Kelleher,ie IRL,GK,25.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,ie IRL,GK,25.0,10.0,10.0,900.0,10.0,12.0,1.2,37.0,24.0,67.6,7.0,2.0,1.0,4.0,40.0,1.0,0.0,1.0,0.0,100.0,Matches,Liverpool,1.0,0.0,11.6,0.3,-0.4,-0.04,29.0,115.0,25.2,364.0,49.0,28.6,29.0,18.0,61.1,42.8,113.0,6.0,5.3,9.0,0.9,14.0,ie IRL,GK,25.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,N/a,0.0,0.0,Matches,Liverpool,289.0,382.0,75.7,6252.0,3968.0,99.0,99.0,100.0,147.0,147.0,100.0,43.0,135.0,31.9,0.0,0.0,0.0,6.0,0.0,0.0,344.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,398.0,286.0,396.0,2.0,0.0,0.0,398.0,1.0,1.0,100.0,0.0,0.0,290.0,1131.0,616.0,0.0,0.0,1.0,0.0,275.0,90.0,26.3,90.0,10,0,N/a,27,2.3,22.0,12.0,10.0,1.0,-0.25,19.8,11.1,8.7,0.87,-0.37,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,100.0
Cody Gakpo,nl NED,FW,25.0,35,23,1935.0,21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,7.1,7.1,4.4,11.5,59.0,52.0,278.0,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nl NED,FW,25.0,57.0,22.0,38.6,2.65,1.02,0.18,0.45,15.1,0.0,0.12,2.9,2.9,Matches,Liverpool,480.0,634.0,75.7,6870.0,1656.0,298.0,343.0,86.9,149.0,225.0,66.2,19.0,36.0,52.8,3.8,-0.4,38.0,24.0,27.0,8.0,616.0,16.0,4.0,3.0,4.0,74.0,11.0,1.0,0.0,0.0,0.0,2.0,10.0,80.0,3.72,57.0,0.0,9.0,7.0,5.0,2.0,8.0,0.37,3.0,0.0,3.0,1.0,1.0,0.0,28.0,16.0,6.0,13.0,9.0,13.0,25.0,52.0,12.0,23.0,3.0,20.0,12.0,40.0,19.0,1.0,888.0,28.0,91.0,258.0,557.0,110.0,888.0,61.0,31.0,50.8,21.0,34.4,605.0,4320.0,2208.0,34.0,28.0,45.0,24.0,677.0,55.0,56.6,73.0,6,12,21.0,0,2.2,45.0,25.0,20.0,0.93,-0.58,45.3,21.6,23.8,1.11,-0.09,0.0,20.0,31.0,5.0,1.0,0.0,0.0,77.0,17.0,26.0,39.5
Conor Bradley,nir NIR,DF,21.0,19,7,754.0,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.4,2.1,35.0,33.0,39.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,nir NIR,DF,21.0,10.0,3.0,30.0,1.19,0.36,0.0,0.0,14.2,0.0,0.07,-0.7,-0.7,Matches,Liverpool,456.0,544.0,83.8,6875.0,1711.0,261.0,286.0,91.3,175.0,198.0,88.4,12.0,36.0,33.3,1.4,0.6,7.0,26.0,3.0,1.0,471.0,71.0,13.0,0.0,2.0,7.0,58.0,0.0,0.0,0.0,0.0,2.0,12.0,19.0,2.27,13.0,0.0,5.0,0.0,1.0,0.0,4.0,0.48,3.0,0.0,1.0,0.0,0.0,0.0,14.0,10.0,7.0,5.0,2.0,11.0,22.0,50.0,11.0,9.0,2.0,7.0,4.0,18.0,31.0,0.0,663.0,32.0,197.0,299.0,178.0,43.0,663.0,25.0,10.0,40.0,12.0,48.0,369.0,2332.0,1356.0,22.0,9.0,13.0,5.0,411.0,40.0,22.0,68.0,1,12,23.0,6,1.84,13.0,10.0,3.0,0.36,-1.06,17.2,12.4,4.8,0.58,-0.73,0.0,12.0,14.0,1.0,0.0,0.0,0.0,51.0,11.0,7.0,61.1
Curtis Jones,eng ENG,"MF,DF",23.0,33,19,1712.0,19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,4.3,4.3,1.1,5.4,30.0,117.0,79.0,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,DF",23.0,34.0,13.0,38.2,1.79,0.68,0.09,0.23,17.1,0.0,0.13,-1.3,-1.3,Matches,Liverpool,1021.0,1097.0,93.1,15072.0,3158.0,584.0,605.0,96.5,373.0,404.0,92.3,40.0,53.0,75.5,1.6,1.9,22.0,84.0,19.0,1.0,1037.0,58.0,11.0,2.0,2.0,8.0,28.0,1.0,0.0,0.0,0.0,2.0,10.0,52.0,2.74,45.0,1.0,0.0,4.0,2.0,0.0,8.0,0.42,5.0,1.0,0.0,1.0,1.0,0.0,39.0,22.0,6.0,23.0,10.0,17.0,27.0,63.0,10.0,22.0,9.0,13.0,7.0,46.0,10.0,3.0,1288.0,41.0,220.0,683.0,393.0,58.0,1288.0,22.0,12.0,54.5,8.0,36.4,789.0,3889.0,1892.0,23.0,8.0,26.0,36.0,967.0,52.0,50.1,76.0,6,14,19.0,1,2.09,38.0,27.0,11.0,0.58,-1.21,34.6,23.4,11.1,0.59,-1.12,1.0,18.0,25.0,1.0,1.0,0.0,0.0,97.0,14.0,13.0,51.9
Darwin Núñez,uy URU,FW,25.0,30,8,1133.0,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.8,5.8,1.3,7.1,23.0,27.0,78.0,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,uy URU,FW,25.0,34.0,13.0,38.2,2.7,1.03,0.15,0.38,14.3,0.0,0.17,-0.8,-0.8,Matches,Liverpool,163.0,230.0,70.9,2390.0,587.0,89.0,111.0,80.2,48.0,65.0,73.8,13.0,20.0,65.0,0.5,0.7,11.0,9.0,3.0,1.0,225.0,4.0,0.0,1.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,31.0,2.46,21.0,0.0,4.0,1.0,2.0,3.0,4.0,0.32,3.0,0.0,0.0,0.0,1.0,0.0,21.0,18.0,11.0,4.0,6.0,7.0,18.0,38.9,11.0,6.0,0.0,6.0,4.0,25.0,12.0,0.0,366.0,10.0,45.0,122.0,210.0,74.0,366.0,23.0,8.0,34.8,14.0,60.9,201.0,1063.0,568.0,19.0,12.0,24.0,21.0,248.0,38.0,33.1,78.0,2,22,23.0,5,2.07,29.0,21.0,8.0,0.64,-0.82,27.2,16.6,10.6,0.84,-0.46,0.0,27.0,14.0,12.0,1.0,0.0,0.0,41.0,20.0,33.0,37.7
Diogo Jota,pt POR,FW,27.0,26,14,1196.0,13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,7.9,7.9,1.8,9.8,37.0,34.0,88.0,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,Matches,Liverpool,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,FW,27.0,51.0,13.0,25.5,3.84,0.98,0.12,0.46,12.4,0.0,0.16,-1.9,-1.9,Matches,Liverpool,216.0,310.0,69.7,3313.0,829.0,113.0,147.0,76.9,79.0,104.0,76.0,13.0,23.0,56.5,1.1,1.2,11.0,29.0,3.0,1.0,305.0,3.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,37.0,2.79,24.0,0.0,6.0,5.0,1.0,1.0,9.0,0.68,5.0,0.0,2.0,1.0,1.0,0.0,14.0,8.0,2.0,8.0,4.0,7.0,19.0,36.8,12.0,9.0,0.0,9.0,8.0,22.0,6.0,0.0,485.0,6.0,35.0,198.0,259.0,97.0,485.0,33.0,11.0,33.3,20.0,60.6,263.0,1500.0,796.0,23.0,21.0,40.0,22.0,333.0,46.0,35.0,67.0,2,12,22.0,3,2.12,29.0,12.0,17.0,1.28,0.15,28.9,12.0,16.9,1.28,0.2,0.0,23.0,14.0,1.0,1.0,0.0,0.0,41.0,22.0,32.0,40.7
