Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Aaron Ramsdale,eng ENG,GK,26,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Southampton,eng ENG,GK,26.0,30.0,2700.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,Matches,Southampton,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,190.0,77.4,55.9,457.0,25.0,5.5,20.0,0.67,11.7,eng ENG,GK,26,30.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,N/a,0.0,0.0,Matches,Southampton,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0,0.0,0.1,0.0,0,36,1,0,0,1223,918,298,108,0,4,0,0,0,0,0,0,774,7,1,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,10,3,1314,946,1286,32,0,0,1314,0,0,N/a,0,N/a,786,4017,2349,0,0,0,3,0,702,0,90,78.9,30,90,30,0,N/a,0,0.37,21,66,-45,-1.50,+0.38,25.0,64.9,-39.8,-1.33,+0.21,0,1,4,0,0,2,0,0,0,0,23,6,0,100.0
Adam Armstrong,eng ENG,"FW,MF",27,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"FW,MF",27,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,0.09,-1.3,-0.3,Matches,Southampton,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,62,36.5,15,75,4,5,25,4,0.30,7,35,-28,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7
Adam Lallana,eng ENG,MF,36,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,36,4.0,0,3,0,0.0,0.75,0.00,0.00,N/a,18.1,0,0,0,0.06,-0.2,-0.2,Matches,Southampton,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,26,10.6,5,51,0,9,12,6,0.50,3,8,-5,-1.25,+0.37,4.2,7.9,-3.8,-0.94,+0.48,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0
Albert Grønbaek,dk DEN,"FW,MF",23,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,dk DEN,"FW,MF",23,1.6,0,2,0,0.0,1.26,0.00,0.00,N/a,22.4,0,0,0,0.06,-0.1,-0.1,Matches,Southampton,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,N/a,0,0.0,0.0,0.0,1,2,0,0,1,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1,2,1.26,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0,38,2,9,14,15,2,38,4,0,0.0,4,100.0,18,79,15,1,0,1,5,4,21,3,36,4.2,2,66,0,2,6,2,0.75,2,3,-1,-0.63,+0.99,0.8,4.8,-4.1,-2.56,-1.24,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0
Alex McCarthy,eng ENG,GK,34,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Southampton,eng ENG,GK,34.0,5.0,450.0,13.0,2.6,37.0,24.0,70.3,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,Southampton,1.0,0.0,12.6,0.29,-0.4,-0.07,24.0,52.0,46.2,132.0,29.0,33.3,29.5,23.0,34.8,30.7,74.0,8.0,10.8,0.0,0.0,6.5,eng ENG,GK,34,5.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,N/a,0.0,0.0,Matches,Southampton,117,156,75.0,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0.0,0.0,0.0,0,5,0,0,0,156,126,29,6,0,1,0,0,0,0,0,0,117,1,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,0,0,1,4,173,141,173,0,0,0,173,0,0,N/a,0,N/a,100,452,276,0,0,0,0,0,88,0,90,13.2,5,90,5,0,N/a,33,0.00,3,13,-10,-2.00,-0.48,4.8,10.8,-6.1,-1.21,+0.18,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
Armel Bella Kotchap,de GER,DF,22,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,de GER,DF,22,3.7,0,1,0,0.0,0.27,0.00,0.00,N/a,9.1,0,0,0,0.32,-0.3,-0.3,Matches,Southampton,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,224,219,4,4,0,0,0,0,0,0,0,0,202,1,1,2,0.54,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0,83,9.7,2,90,2,2,76,8,0.00,2,13,-11,-2.99,-1.56,2.5,10.2,-7.7,-2.08,-0.79,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5
Ben Brereton,cl CHI,FW,25,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cl CHI,FW,25,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.08,-0.9,-0.9,Matches,Southampton,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,166,163,2,1,1,0,5,1,0,0,0,0,128,1,3,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,45,13.1,4,78,2,6,23,4,0.20,2,10,-8,-1.60,-0.03,5.0,11.0,-6.0,-1.20,+0.20,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3
Cameron Archer,eng ENG,FW,23,35,13,1441,16.0,2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,0.12,0.00,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,23,16.0,2,28,10,35.7,1.75,0.62,0.07,0.20,12.8,0,0,1,0.18,-3.7,-2.9,Matches,Southampton,205,251,81.7,2612,367,131,151,86.8,54,59,91.5,5,9,55.6,0,0.5,0.7,-0.5,5,7,7,0,14,251,231,19,0,2,0,3,0,0,0,0,0,205,1,8,20,1.25,10,0,4,5,1,0,0,0.00,0,0,0,0,0,0,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,22,10,14,40,26,274,66,41,42.1,13,71,0,22,24,2,0.26,10,34,-24,-1.50,+0.14,15.7,36.6,-20.9,-1.31,+0.11,0,16,13,8,3,2,8,0,0,0,35,9,30,23.1
Carlos Alcaraz,ar ARG,MF,21,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,MF,21,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.07,-0.1,-0.1,Matches,Southampton,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,1,1,0,0,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,10,0.3,0,N/a,0,1,10,0,0.00,0,0,0,0.00,+1.58,0.3,0.0,+0.3,+2.92,+4.31,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
Charlie Taylor,eng ENG,DF,30,8,3,356,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,9,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Southampton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,30,4.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,N/a,0.0,0.0,Matches,Southampton,196,223,87.9,3602,910,70,75,93.3,103,112,92.0,20,28,71.4,0,0.1,0.2,-0.1,1,9,3,1,9,223,192,30,7,0,0,9,21,2,1,1,0,196,1,3,2,0.51,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0,7,5,4,3,0,5,7,71.4,2,8,5,3,5,12,31,1,279,35,121,120,39,2,279,2,2,100.0,0,0.0,116,500,187,3,3,0,1,1,172,7,45,10.4,3,90,3,5,17,6,0.13,3,12,-9,-2.28,-0.78,3.8,9.7,-5.9,-1.49,-0.13,0,2,3,0,9,5,5,0,0,0,10,6,2,75.0
