Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP_stats_keeper_9,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Alfie Pond,eng ENG,DF,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,20.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,1.0,1.0,100.0,23.0,0.0,0.0,0.0,N/a,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,N/a,0.0,N/a,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,N/a,0,1,1,7,3.00,0,0,0,0.00,+0.39,0.0,0.0,0.0,0.00,+0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
André,br BRA,MF,23,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,MF,23.0,27.5,0.0,10.0,1.0,10.0,0.36,0.04,0.0,0.0,25.5,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Matches,Wolves,1247.0,1342.0,92.9,19660.0,5471.0,646.0,677.0,95.4,475.0,500.0,95.0,80.0,98.0,81.6,0.0,0.8,0.7,-0.8,18.0,111.0,5.0,0.0,109.0,1308.0,32.0,28.0,5.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,49.0,1.78,41.0,3.0,1.0,0.0,0.0,4.0,3.0,0.11,2.0,1.0,0.0,0.0,0.0,0.0,91.0,55.0,41.0,41.0,9.0,37.0,63.0,58.7,26.0,42.0,8.0,34.0,37.0,128.0,30.0,1.0,1623.0,89.0,439.0,1046.0,155.0,3.0,1623.0,32.0,16.0,50.0,12.0,37.5,912.0,3764.0,1688.0,10.0,17.0,0.0,30.0,21.0,1093.0,11.0,75,72.3,31,80,14,2,3,2,1.15,39,46,-7,-0.25,+0.50,29.9,40.5,-10.6,-0.39,-0.02,7.0,0.0,0.0,36.0,34.0,0.0,1.0,0.0,194.0,2.0,6.0,25.0
Bastien Meupiyou,fr FRA,DF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,5,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Boubacar Traoré,ml MLI,MF,22,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ml MLI,MF,22.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,0.0,0.0,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,N/a,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,N/a,0,1,1,7,3.00,0,0,0,0.00,+0.39,0.6,0.0,+0.6,+49.93,+50.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Forbs,pt POR,"MF,FW",20,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"MF,FW",20.0,2.7,0.0,2.0,0.0,0.0,0.75,0.0,0.0,N/a,19.1,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,Matches,Wolves,60.0,91.0,65.9,788.0,228.0,39.0,51.0,76.5,19.0,26.0,73.1,1.0,5.0,20.0,0.0,0.0,0.1,0.0,1.0,2.0,3.0,1.0,8.0,89.0,2.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.89,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,5.0,2.0,1.0,4.0,6.0,66.7,2.0,3.0,0.0,3.0,1.0,9.0,2.0,1.0,121.0,3.0,23.0,39.0,60.0,13.0,121.0,12.0,7.0,58.3,5.0,41.7,75.0,468.0,321.0,10.0,3.0,8.0,7.0,4.0,85.0,28.0,24,7.0,1,67,0,9,19,17,0.80,7,9,-2,-0.75,-0.39,3.2,8.4,-5.2,-1.97,-1.71,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,1.0,3.0,25.0
Chiquinho,pt POR,MF,24,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,MF,24.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,3.0,3.0,100.0,71.0,22.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,N/a,0.0,N/a,1.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,0.2,0,N/a,0,1,7,0,0.00,0,0,0,0.00,+0.40,0.1,0.0,+0.1,+1.89,+2.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N/a
Craig Dawson,eng ENG,DF,34,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,34.0,10.8,0.0,5.0,1.0,20.0,0.46,0.09,0.0,0.0,8.5,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5,Matches,Wolves,484.0,559.0,86.6,9745.0,3180.0,149.0,161.0,92.5,267.0,287.0,93.0,57.0,95.0,60.0,0.0,0.0,0.1,0.0,2.0,22.0,1.0,0.0,20.0,528.0,30.0,20.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.65,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,8.0,6.0,1.0,12.0,15.0,80.0,3.0,16.0,11.0,5.0,9.0,24.0,52.0,1.0,671.0,130.0,396.0,249.0,28.0,14.0,671.0,5.0,1.0,20.0,2.0,40.0,390.0,1819.0,938.0,6.0,1.0,0.0,2.0,0.0,443.0,5.0,65,28.4,10,89,9,5,17,6,0.87,16,25,-9,-0.83,-0.61,10.6,18.7,-8.1,-0.75,-0.51,2.0,0.0,0.0,6.0,5.0,2.0,0.0,2.0,35.0,21.0,11.0,65.6
Daniel Bentley,eng ENG,GK,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Wolves,eng ENG,GK,31.0,2.0,2.0,180.0,4.0,2.0,12.0,8.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,N/a,Matches,Wolves,1.0,0.0,0.0,3.9,0.33,-0.1,-0.04,7.0,21.0,33.3,52.0,6.0,25.0,28.1,13.0,61.5,46.4,25.0,0.0,0.0,3.0,1.5,16.4,eng ENG,GK,31.0,2.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Wolves,49.0,65.0,75.4,1252.0,851.0,6.0,6.0,100.0,33.0,33.0,100.0,10.0,26.0,38.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,50.0,68.0,1.0,0.0,0.0,69.0,0.0,0.0,N/a,0.0,N/a,39.0,218.0,134.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,90,5.3,2,90,2,0,N/a,16,1.50,3,4,-1,-0.50,-0.11,1.6,3.0,-1.4,-0.69,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Daniel Podence,pt POR,"MF,FW",28,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,"MF,FW",28.0,0.5,0.0,1.0,0.0,0.0,1.87,0.0,0.0,N/a,24.4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,Matches,Wolves,11.0,16.0,68.8,132.0,78.0,7.0,7.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,11.0,7.0,0.0,20.0,2.0,2.0,100.0,0.0,0.0,13.0,77.0,43.0,1.0,1.0,0.0,0.0,0.0,17.0,3.0,24,1.4,0,N/a,0,2,24,0,0.00,0,2,-2,-3.75,-3.40,0.3,0.8,-0.5,-0.93,-0.56,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Emmanuel Agbadou,ci CIV,DF,27,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Matches,Wolves,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ci CIV,DF,27.0,15.7,1.0,7.0,2.0,28.6,0.45,0.13,0.14,0.5,27.6,1.0,0.0,0.0,0.8,0.8,0.12,0.2,0.2,Matches,Wolves,855.0,1001.0,85.4,17344.0,6203.0,276.0,299.0,92.3,466.0,501.0,93.0,107.0,181.0,59.1,0.0,0.2,0.3,-0.2,4.0,40.0,1.0,0.0,31.0,955.0,43.0,28.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,17.0,1.09,15.0,2.0,0.0,0.0,0.0,0.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,0.0,30.0,19.0,21.0,9.0,0.0,13.0,20.0,65.0,7.0,19.0,13.0,6.0,12.0,42.0,90.0,0.0,1172.0,190.0,649.0,504.0,28.0,7.0,1172.0,13.0,10.0,76.9,2.0,15.4,758.0,3670.0,1752.0,6.0,4.0,0.0,6.0,4.0,796.0,2.0,88,41.2,16,88,15,0,N/a,0,1.44,20,22,-2,-0.13,+0.45,19.1,22.8,-3.6,-0.23,+0.25,3.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,83.0,26.0,20.0,56.5
