Player,Team,Position_group,market_value_million,predicted_value_million
Ben White,Arsenal,DEF,45.0,23.30666666666667
Bukayo Saka,Arsenal,MID,150.0,118.36333333333333
David Raya,Arsenal,GK,40.0,41.03
Declan Rice,Arsenal,MID,120.0,101.18
Ethan Nwaneri,Arsenal,MID,55.0,45.92666666666667
Gabriel Jesus,Arsenal,FWD,32.0,29.08
Gabriel Magalhães,Arsenal,DEF,75.0,67.21333333333334
Gabriel Martinelli,Arsenal,MID,55.0,51.82666666666667
Jakub Kiwior,Arsenal,DEF,28.0,28.10333333333333
Jorginho,Arsenal,MID,6.0,7.191999999999999
Jurriën Timber,Arsenal,DEF,55.0,59.11666666666667
Kai Havertz,Arsenal,MID,65.0,40.36333333333334
Kieran Tierney,Arsenal,DEF,9.0,12.791666666666666
Leandro Trossard,Arsenal,FWD,22.0,31.171666666666667
Martin Ødegaard,Arsenal,MID,85.0,80.70333333333333
Mikel Merino,Arsenal,MID,35.0,26.9
Myles Lewis-Skelly,Arsenal,DEF,45.0,40.99
Oleksandr Zinchenko,Arsenal,DEF,20.0,21.203333333333333
Raheem Sterling,Arsenal,MID,10.0,12.941666666666666
Riccardo Calafiori,Arsenal,DEF,35.0,29.843333333333334
Thomas Partey,Arsenal,DEF,14.0,19.358999999999998
William Saliba,Arsenal,DEF,80.0,73.07333333333334
Amadou Onana,Aston Villa,MID,50.0,42.91
Andrés García,Aston Villa,DEF,7.0,10.786666666666667
Axel Disasi,Aston Villa,DEF,22.0,20.078333333333333
Axel Disasi,Aston Villa,DEF,22.0,20.078333333333333
Boubacar Kamara,Aston Villa,MID,40.0,35.526666666666664
Diego Carlos,Aston Villa,DEF,9.5,8.065166666666666
Donyell Malen,Aston Villa,FWD,25.0,22.6
Emi Buendía,Aston Villa,MID,15.0,15.041666666666666
Emiliano Martínez,Aston Villa,GK,20.0,11.465
Ezri Konsa,Aston Villa,DEF,35.0,33.64333333333333
Ian Maatsen,Aston Villa,DEF,28.0,28.256666666666668
Jacob Ramsey,Aston Villa,MID,32.0,30.583333333333332
Jaden Philogene Bidace,Aston Villa,MID,16.0,15.826666666666666
John McGinn,Aston Villa,MID,16.0,15.146666666666667
Jáder Durán,Aston Villa,FWD,,20.42
Kosta Nedeljković,Aston Villa,DEF,10.0,9.97
Lamare Bogarde,Aston Villa,DEF,6.0,10.74
Leon Bailey,Aston Villa,MID,28.0,27.363333333333333
Lucas Digne,Aston Villa,DEF,10.0,10.283166666666666
Marco Asensio,Aston Villa,MID,20.0,21.64666666666667
Marcus Rashford,Aston Villa,FWD,50.0,38.90833333333333
Marcus Rashford,Aston Villa,FWD,50.0,38.90833333333333
Matty Cash,Aston Villa,DEF,25.0,25.89
Morgan Rogers,Aston Villa,MID,55.0,49.86333333333334
Ollie Watkins,Aston Villa,FWD,40.0,38.38333333333333
Pau Torres,Aston Villa,DEF,32.0,30.416666666666668
Robin Olsen,Aston Villa,GK,1.0,1.3635
Ross Barkley,Aston Villa,MID,6.0,7.234666666666667
Tyrone Mings,Aston Villa,DEF,5.0,6.858333333333333
Youri Tielemans,Aston Villa,MID,38.0,40.416666666666664
Adam Smith,Bournemouth,DEF,0.75,2.4675
Alex Scott,Bournemouth,MID,20.0,20.54
Antoine Semenyo,Bournemouth,FWD,40.0,43.196666666666665
Dango Ouattara,Bournemouth,FWD,28.0,30.363333333333333
Daniel Jebbison,Bournemouth,FWD,4.0,20.958333333333332
David Brooks,Bournemouth,MID,10.0,25.986666666666668
Dean Huijsen,Bournemouth,DEF,60.0,51.656666666666666
